,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2025",,
Market,"Prices April, 2025 (Rs./Quintal)","Prices March, 2025 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Sangamner APMC,2534.0,2575.15,2417.0,-1.6%,4.8%
Sangli APMC,3936.03,4005.99,3490.31,-1.8%,12.8%
Sangrampur(Varvatbakal) APMC,-,-,2686.24,-,-
Satana APMC,2538.95,2520.88,2665.7,0.7%,-4.8%
Savner APMC,2664.21,2574.6,2496.05,3.5%,6.7%
Selu APMC,-,2725.0,-,-,-
Shahada APMC,2584.71,2648.14,2574.14,-2.4%,0.4%
Shegaon APMC,2526.7,2621.94,2550.0,-3.6%,-0.9%
Shevgaon APMC,2604.3,2520.88,2354.28,3.3%,10.6%
Shevgaon(Bodhegaon) APMC,2478.8,2616.92,2469.17,-5.3%,0.4%
Shirpur APMC,2581.05,2704.4,2633.9,-4.6%,-2.0%
Shirur APMC,2300.0,2431.34,-,-5.4%,-
Shree Salasar Krushi Bazar  APMC,-,-,2000.0,-,-
Shrigonda APMC,2700.0,2750.68,2542.93,-1.8%,6.2%
Shrigonda(Gogargaon) APMC,2800.0,2654.17,-,5.5%,-
Shrirampur APMC,2498.66,2570.12,2439.18,-2.8%,2.4%
Shrirampur(Belapur) APMC,2445.69,2504.06,-,-2.3%,-
Sillod APMC,2583.0,2591.98,2508.41,-0.3%,3.0%
Sillod(Bharadi) APMC,2434.09,2506.25,2266.45,-2.9%,7.4%
Sindi APMC,2448.31,2486.5,1527.27,-1.5%,60.3%
Sindi(Selu) APMC,2535.72,2617.37,2442.53,-3.1%,3.8%
Sindkhed Raja APMC,2078.1,2028.82,-,2.4%,-
Sinner APMC,2514.52,2700.0,-,-6.9%,-
Solapur APMC,3297.32,3381.02,3049.07,-2.5%,8.1%
Sonpeth APMC,2737.1,2877.63,2935.0,-4.9%,-6.7%
Tadkalas APMC,-,2550.33,2526.87,-,-
Taloda APMC,2576.53,2637.72,2654.78,-2.3%,-3.0%
Tasgaon APMC,3138.1,2949.55,3252.82,6.4%,-3.5%
Telhara APMC,3012.56,2812.55,2529.8,7.1%,19.1%
Tuljapur APMC,2680.45,2643.24,-,1.4%,-
Tumsar APMC,2475.53,2424.62,2389.93,2.1%,3.6%
Ulhasnagar APMC,3199.15,3210.4,3285.01,-0.3%,-2.6%
Umared APMC,2637.98,2597.71,2395.11,1.6%,10.1%
Umarga APMC,2620.51,2613.92,2880.8,0.2%,-9.0%
Umarked(Danki) APMC,2900.0,-,2300.0,-,26.1%
Umarkhed APMC,-,2800.0,2200.0,-,-
Vaduj APMC,2550.0,2702.38,2400.0,-5.6%,6.2%
Vadvani APMC,2758.26,2734.67,-,0.9%,-
Vaijpur APMC,2633.89,2646.65,2370.01,-0.5%,11.1%
Varud APMC,2557.08,-,-,-,-
Varud(Rajura Bazar) APMC,2574.82,2500.0,-,3.0%,-
Vasai APMC,3450.0,3437.24,3455.11,0.4%,-0.1%
Wardha APMC,2628.12,2657.6,2521.63,-1.1%,4.2%
Washi (Dharashiv) APMC,2540.0,2481.84,-,2.3%,-
Washim APMC,2515.71,2512.16,2382.78,0.1%,5.6%
Washim(Ansing) APMC,2450.0,2572.73,2314.71,-4.8%,5.8%
Yawal APMC,2560.0,-,2778.48,-,-7.9%
Yeola APMC,2467.83,2573.77,-,-4.1%,-
Yeotmal APMC,2508.61,2565.68,2277.87,-2.2%,10.1%
Average,2654.45,2654.31,2596.79,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

