,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - June, 2025",,
Market,"Prices June, 2025 (Rs./Quintal)","Prices May, 2025 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Pulgaon APMC,-,-,2300.0,-,-
Pune APMC,-,-,3600.0,-,-
Purna APMC,-,2750.0,2850.0,-,-
Pusad APMC,-,2918.7,-,-,-
Rahata APMC,2579.31,2593.88,2599.53,-0.6%,-0.8%
Rahuri APMC,2552.91,2551.71,2405.83,0.1%,6.1%
Rahuri(Vambori) APMC,2490.03,2521.58,2539.76,-1.2%,-2.0%
Ramtek APMC,-,-,2417.09,-,-
Raver APMC,2565.08,2643.6,2492.0,-3.0%,2.9%
Raver(Sauda) APMC,-,2641.0,-,-,-
Sakri APMC,2474.29,2511.3,2529.41,-1.5%,-2.2%
Samudrapur APMC,2361.29,2417.65,-,-2.3%,-
Sangamner APMC,2587.75,2535.37,2801.54,2.1%,-7.6%
Sangli APMC,4000.0,3986.78,3508.09,0.3%,14.0%
Sangrampur(Varvatbakal) APMC,-,-,2350.0,-,-
Satana APMC,2579.9,2598.66,2632.68,-0.7%,-2.0%
Savner APMC,2467.56,2545.1,2350.63,-3.0%,5.0%
Shahada APMC,2596.92,2626.85,2663.77,-1.1%,-2.5%
Shegaon APMC,2377.59,2504.58,-,-5.1%,-
Shevgaon APMC,2612.89,2642.23,2808.41,-1.1%,-7.0%
Shevgaon(Bodhegaon) APMC,2482.65,2471.37,2534.16,0.5%,-2.0%
Shirpur APMC,2428.79,2505.54,2577.58,-3.1%,-5.8%
Shirur APMC,2750.0,2358.82,2550.0,16.6%,7.8%
Shree Salasar Krushi Bazar  APMC,-,-,2000.0,-,-
Shrigonda APMC,2800.0,2800.0,-,-,-
Shrirampur APMC,2525.19,2556.58,2474.26,-1.2%,2.1%
Shrirampur(Belapur) APMC,2400.0,2402.66,-,-0.1%,-
Sillod APMC,2529.3,2521.73,2415.49,0.3%,4.7%
Sillod(Bharadi) APMC,2442.86,2447.58,2300.0,-0.2%,6.2%
Sindi APMC,2387.31,2454.21,2650.0,-2.7%,-9.9%
Sindi(Selu) APMC,2532.89,2555.67,2384.12,-0.9%,6.2%
Sindkhed Raja APMC,2064.05,-,-,-,-
Sinner APMC,2800.0,2653.66,2745.0,5.5%,2.0%
Solapur APMC,3346.93,3298.39,3212.33,1.5%,4.2%
Sonpeth APMC,-,2553.0,2800.0,-,-
Tadkalas APMC,2367.0,-,2370.59,-,-0.1%
Taloda APMC,2625.0,2580.0,2600.0,1.7%,1.0%
Tasgaon APMC,3159.94,3190.21,3097.74,-0.9%,2.0%
Telhara APMC,2622.63,2581.33,2566.69,1.6%,2.2%
Tuljapur APMC,2683.49,2709.59,-,-1.0%,-
Tumsar APMC,2483.64,2530.46,2569.4,-1.9%,-3.3%
Ulhasnagar APMC,3290.01,3206.24,3359.72,2.6%,-2.1%
Umared APMC,2571.18,2607.25,2419.57,-1.4%,6.3%
Umarga APMC,2336.19,2658.93,3400.25,-12.1%,-31.3%
Umarked(Danki) APMC,2800.0,2700.0,2400.0,3.7%,16.7%
Umarkhed APMC,2750.0,-,-,-,-
Vaduj APMC,2550.0,2550.0,2410.0,-,5.8%
Vadvani APMC,2451.0,2738.25,2840.8,-10.5%,-13.7%
Vaijpur APMC,2600.22,2666.97,2503.62,-2.5%,3.9%
Vani APMC,2527.5,-,-,-,-
Varora APMC,-,-,2200.0,-,-
Varud APMC,2503.0,2534.19,-,-1.2%,-
Varud(Rajura Bazar) APMC,2477.09,2482.45,2447.0,-0.2%,1.2%
Vasai APMC,-,3489.1,3350.0,-,-
Wardha APMC,2596.3,2625.85,2400.19,-1.1%,8.2%
Washim APMC,2456.21,2497.28,2343.2,-1.6%,4.8%
Washim(Ansing) APMC,2350.0,2442.19,2303.52,-3.8%,2.0%
Yawal APMC,-,-,2700.0,-,-
Yeola APMC,2549.19,2529.78,2796.44,0.8%,-8.8%
Yeotmal APMC,2531.72,2553.8,2322.27,-0.9%,9.0%
Average,2581.72,2634.03,2583.02,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

