Market,"Arrivals August, 2021 (Metric Tonnes)","Arrivals July, 2021 (Metric Tonnes)","Arrivals August, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Hinganghat APMC,563.0,667.0,131.0,-15.6%,329.8%
Hingoli APMC,74.0,77.0,21.0,-3.9%,252.4%
Hingoli(Kanegoan Naka) APMC,50.0,42.97471899212391,25.743364608623835,-,-
Indapur(Bhigwan) APMC,218.2092144119618,198.37781563008107,85.0,-,-
Indapur(Nimgaon Ketki) APMC,104.51639029460982,93.63553186265167,1.0,-,-
Jafrabad APMC,4.863742741997177,2.0,20.0,-,-
Jalana APMC,1715.0,1415.0,863.0,21.2%,98.7%
Jalgaon APMC,27.0,9.0,8.0,200.0%,237.5%
Jalgaon Jamod(Aasalgaon) APMC,28.0,511.0,32.0,-94.5%,-12.5%
Jalgaon(Masawat) APMC,3.8190699132903805,1.0,-0.3487490120596357,-,-
Jamkhed APMC,89.0,74.0,6.0,20.3%,1383.3%
Jawala-Bajar APMC,14.677246797384,11.0,5.862930121692001,-,-
Jintur APMC,4.0,1.4859042891202336,2.0,-,100.0%
Kada APMC,18.0,28.0,1.0,-35.7%,1700.0%
Kaij APMC,108.57684829880097,97.37632771148843,4.0,-,-
Kalamb (Dharashiv) APMC,77.0,83.0,24.0,-7.2%,220.8%
Kalamnuri APMC,11.0,23.0,12.797924320229791,-52.2%,-
Kalvan APMC,3.8089501804846195,1.0,4.0,-,-
Kannad APMC,233.0,66.0,31.0,253.0%,651.6%
Karanja APMC,1301.0,907.0,1521.0,43.4%,-14.5%
Karjat(Raigad) APMC,78.0,53.0,22.0,47.2%,254.6%
Karmala APMC,14.0,17.0,2.0,-17.6%,600.0%
Katol APMC,127.0,181.0,49.0,-29.8%,159.2%
Khamgaon APMC,413.0,336.0,862.0,22.9%,-52.1%
Kille Dharur APMC,27.0,32.0,3.0,-15.6%,800.0%
Kopargaon APMC,152.0,199.0,98.0,-23.6%,55.1%
Kurdwadi(Modnimb) APMC,2.0,5.0,7.0,-60.0%,-71.4%
Lasalgaon APMC,157.0,210.0,174.0,-25.2%,-9.8%
Lasalgaon(Niphad) APMC,82.0,89.0,60.0,-7.9%,36.7%
Lasalgaon(Vinchur) APMC,58.0,150.0,124.0,-61.3%,-53.2%
Lasur Station APMC,430.0,398.0,228.0,8.0%,88.6%
Latur APMC,3398.0,2341.0,403.0,45.1%,743.2%
Latur(Murud) APMC,31.0,68.0,74.0,-54.4%,-58.1%
Loha APMC,8.0,12.0,11.0,-33.3%,-27.3%
Lonar APMC,351.0,159.0,59.0,120.8%,494.9%
Majalgaon APMC,91.0,84.0,12.0,8.3%,658.3%
Malegaon APMC,170.0,170.0,261.0,-,-34.9%
Malegaon(Vashim) APMC,9.0,7.0,3.33681722708174,28.6%,-
Malkapur APMC,397.0,379.0,687.0,4.8%,-42.2%
Mangal Wedha APMC,9.0,22.0,2.0,-59.1%,350.0%
Mangrulpeer APMC,354.0,220.0,138.0,60.9%,156.5%
Manmad APMC,27.0,29.0,30.0,-6.9%,-10.0%
Manora APMC,105.0,47.0,25.0,123.4%,320.0%
Mantha APMC,51.0,40.0,11.0,27.5%,363.6%
Manwat APMC,26.0,19.0,7.0,36.8%,271.4%
Mehekar APMC,82.0,71.0,120.0,15.5%,-31.7%
Morshi APMC,151.0,214.0,64.0,-29.4%,135.9%
Mudkhed APMC,107.22336229740392,96.12939576187618,3.0,-,-
Mumbai APMC,12225.0,11951.0,6995.0,2.3%,74.8%
Murtizapur APMC,119.0,119.0,60.0,-,98.3%
Murum APMC,12.0,6.0,3.0,100.0%,300.0%
Nagpur APMC,1877.0,1509.0,678.0,24.4%,176.8%
Nampur APMC,2.0,2.0,8.0,-,-75.0%
Nanded APMC,17.0,23.4530736911142,50.0,-,-66.0%
Nandgaon APMC,54.0,53.0,73.0,1.9%,-26.0%
Nandgaon Khandeshwar APMC,22.0,15.0,27.0,46.7%,-18.5%
Nandura APMC,70.0,48.0,41.0,45.8%,70.7%
Nandurbar APMC,163.0,165.0,243.0,-1.2%,-32.9%
Navapur APMC,158.6558303504917,143.51280984714185,41.0,-,-
Newasa APMC,7.074197569499103,4.0,2.0,-,-
Nilanga APMC,104.51639029460982,93.63553186265167,1.0,-,-
Pachora APMC,122.0,151.0,64.0,-19.2%,90.6%
Paithan APMC,116.0,111.0,85.0,4.5%,36.5%
Palghar APMC,95.0,93.0,40.0,2.1%,137.5%
Pandharpur APMC,3.0,-0.2527413135714296,-1.1100994841275418,-,-
Parali Vaijyanath APMC,1.0,1.0,2.0,-,-50.0%
Paranda APMC,2.0,3.0,0.7696117396508779,-33.3%,-
Parbhani APMC,97.0,82.0,111.0,18.3%,-12.6%
Parola APMC,22.0,37.0,21.363753119939044,-40.5%,-
Partur APMC,64.0,50.0,10.0,28.0%,540.0%
Pathardi APMC,35.0,16.0,6.0,118.8%,483.3%
Pathari APMC,24.0,20.0,13.0,20.0%,84.6%
Patur APMC,54.0,54.0,26.0,-,107.7%
Phaltan APMC,281.82305647762297,256.983617261857,132.0,-,-
Pune APMC,275.0,237.0,133.0,16.0%,106.8%
Rahata APMC,33.0,42.0,19.0,-21.4%,73.7%
Rahuri APMC,13.0,14.909850464259762,28.0,-,-53.6%
Rahuri(Vambori) APMC,11.0,32.0,68.0,-65.6%,-83.8%
Ramtek APMC,57.0,67.0,49.0,-14.9%,16.3%
Raver APMC,55.0,43.0,103.0,27.9%,-46.6%
Sakri APMC,12.0,4.0,16.0,200.0%,-25.0%
Sangamner APMC,11.0,12.0,19.0,-8.3%,-42.1%
Sangli APMC,513.0,395.0,304.0,29.9%,68.8%
Sangrampur(Varvatbakal) APMC,4.0,13.0,15.0,-69.2%,-73.3%
Satana APMC,88.0,82.0,59.0,7.3%,49.1%
Savner APMC,37.0,40.0,16.0,-7.5%,131.2%
Selu APMC,24.0,7.0,3.8028065674137004,242.9%,-
Shahada APMC,68.0,47.0,71.0,44.7%,-4.2%
Shegaon APMC,35.0,18.0,55.0,94.4%,-36.4%
Shevgaon APMC,139.0,146.0,95.0,-4.8%,46.3%
Shevgaon(Bodhegaon) APMC,14.0,29.0,26.0,-51.7%,-46.1%
Shirpur APMC,186.0,208.0,332.0,-10.6%,-44.0%
Shirur APMC,23.0,20.0,11.0,15.0%,109.1%
Shrigonda APMC,57.0,73.0,80.0,-21.9%,-28.8%
Shrigonda(Gogargaon) APMC,20.0,28.0,16.0146976685239,-28.6%,-
Shrirampur APMC,22.0,38.0,69.0,-42.1%,-68.1%
Shrirampur(Belapur) APMC,1.0,12.0,30.0,-91.7%,-96.7%
Sillod APMC,507.0,340.0,307.0,49.1%,65.2%
Sillod(Bharadi) APMC,75.0,35.0,24.0,114.3%,212.5%
Sindi APMC,5.990705290109105,3.0,0.8935868146906918,-,-
Sindi(Selu) APMC,184.0,187.0,34.0,-1.6%,441.2%
Sinner APMC,39.0,62.0,59.0,-37.1%,-33.9%
Solapur APMC,2168.0,1979.0,1203.0,9.6%,80.2%
Sonpeth APMC,3.0,0.46041241363101904,1.0,-,200.0%
Tadkalas APMC,7.0,3.426191478402642,1.175301715255554,-,-
Tasgaon APMC,42.0,39.0,14.0,7.7%,200.0%
Telhara APMC,19.0,22.0,78.0,-13.6%,-75.6%
Tuljapur APMC,15.0,5.0,2.348341065576551,200.0%,-
Tumsar APMC,165.0,77.0,95.0,114.3%,73.7%
Ulhasnagar APMC,756.0,536.0,22.0,41.0%,3336.4%
Umared APMC,131.0,145.0,99.0,-9.7%,32.3%
Umarga APMC,3.0,3.0,0.8006776956730086,-,-
Umarked(Danki) APMC,68.0,54.0,24.0,25.9%,183.3%
Umarkhed APMC,24.0,31.0,17.901269339069387,-22.6%,-
Vaduj APMC,10.0,5.0,6.0,100.0%,66.7%
Vaijpur APMC,141.0,141.0,33.0,-,327.3%
Varud(Rajura Bazar) APMC,3.0,5.0,1.9755495933109826,-40.0%,-
Vasai APMC,174.0,333.0,199.966819285723,-47.8%,-
Wardha APMC,13.453387790812851,10.0,73.0,-,-
Washim APMC,704.0,758.0,333.0,-7.1%,111.4%
Washim(Ansing) APMC,18.0,22.0,15.0,-18.2%,20.0%
Yawal APMC,18.0,6.0,22.0,200.0%,-18.2%
Yeola APMC,23.0,27.0,55.0,-14.8%,-58.2%
Yeotmal APMC,278.0,295.0,33.0,-5.8%,742.4%
Total,38884.0,35635.0,22353.0,-,-
Note:,455.6155924826406,417.0897570408563,258.1128231101885,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,455.6155924826406,417.0897570408563,258.1128231101885,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,455.6155924826406,417.0897570408563,258.1128231101885,,
