Market,"Prices April, 2022 (Rs./Quintal)","Prices March, 2022 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Indapur(Nimgaon Ketki) APMC,2000.0,1967.16586083263,1690.4553255771655,-,-
Jafrabad APMC,2037.5,1976.71,1651.47,3.1%,23.4%
Jalana APMC,2427.13,2236.48,1780.96,8.5%,36.3%
Jalgaon APMC,2031.25,2090.28,1703.24,-2.8%,19.3%
Jalgaon Jamod(Aasalgaon) APMC,2065.8614867199194,2004.6219253730499,1600.0,-,-
Jalgaon(Masawat) APMC,2175.03,2118.9,1658.62,2.6%,31.1%
Jamkhed APMC,2022.52,1914.52,1861.31,5.6%,8.7%
Jawala-Bajar APMC,1806.1,1771.21,1529.2735769957583,2.0%,-
Jintur APMC,1700.0,1742.7259545670668,1672.5,-,1.6%
Kada APMC,2034.48,1936.0,1684.9543243587677,5.1%,-
Kaij APMC,2119.77,2179.68,1823.68,-2.8%,16.2%
Kalamb (Dharashiv) APMC,2440.31,2093.53,2337.35,16.6%,4.4%
Kalamb APMC,1928.57,1907.649200147185,1637.635729679488,-,-
Kalmeshwar APMC,1839.03,1969.55,1264.0,-6.6%,45.5%
Kalvan APMC,2121.57,2036.57,1716.5,4.2%,23.6%
Kandhar APMC,1607.17082155814,1520.0,1337.9459177714796,-,-
Kannad APMC,2233.14,2194.41,1793.12,1.8%,24.5%
Karanja APMC,2153.41,2108.36,1709.88,2.1%,25.9%
Karjat(Raigad) APMC,2175.0,1966.4,1753.85,10.6%,24.0%
Karmala APMC,2253.05,2041.59,1744.0,10.4%,29.2%
Katol APMC,2007.06,2015.61,1674.91,-0.4%,19.8%
Khamgaon APMC,2063.4,2048.02,1635.66,0.8%,26.1%
Kille Dharur APMC,2360.35,2175.73,2244.83,8.5%,5.2%
Kopargaon APMC,2229.71,2148.13,1703.01,3.8%,30.9%
Kurdwadi APMC,2241.6707622622152,2157.0,2087.5,-,-
Kurdwadi(Modnimb) APMC,2293.75,2294.44,1933.33,-0.0%,18.6%
Lakhandur APMC,1911.59,1892.04,1635.0,1.0%,16.9%
Lasalgaon APMC,2281.83,2240.23,1765.04,1.9%,29.3%
Lasalgaon(Niphad) APMC,2190.69,2171.89,1769.64,0.9%,23.8%
Lasalgaon(Vinchur) APMC,2269.8391843555696,2214.74,1791.81,-,-
Lasur Station APMC,2160.4,2209.73,1676.36,-2.2%,28.9%
Latur APMC,2518.195642286861,2456.88,2165.55,-,-
Latur(Murud) APMC,2335.6278679986895,2263.595872986558,2072.64,-,-
Loha APMC,2204.37,1995.3,1768.0115645735805,10.5%,-
Lonar APMC,2132.23,2061.47,1780.0197743422877,3.4%,-
Majalgaon APMC,2486.54,2198.63,2185.78,13.1%,13.8%
Malegaon APMC,2219.2,2161.76,1760.97,2.7%,26.0%
Malegaon(Vashim) APMC,2089.2114838807915,2027.0377687144276,1640.91,-,-
Malkapur APMC,2145.44,2085.91,1720.62,2.9%,24.7%
Mandhal APMC,4235.67,3652.7904957614664,1928.4,-,119.7%
Mangal Wedha APMC,2585.45,2642.61,2126.47,-2.2%,21.6%
Mangrulpeer APMC,2123.52,2147.93,1896.92,-1.1%,11.9%
Manmad APMC,2091.43,2111.32,1687.54,-0.9%,23.9%
Manora APMC,2101.9,2247.24,1798.04,-6.5%,16.9%
Mantha APMC,2137.88,2060.0,1724.39,3.8%,24.0%
Manwat APMC,2365.0,2384.63,1718.63,-0.8%,37.6%
Mauda APMC,1897.69,1905.0,1626.746092023684,-0.4%,-
Mehekar APMC,2548.41,1889.58,1579.83,34.9%,61.3%
Mohol APMC,2100.0,2053.6939010965925,1790.0,-,17.3%
Morshi APMC,2052.92,1937.55,1727.15,6.0%,18.9%
Mumbai APMC,2714.74,2750.0,3322.79,-1.3%,-18.3%
Murtizapur APMC,2168.22,2126.61,1824.24,2.0%,18.9%
Murum APMC,2096.25,2071.08,1969.32,1.2%,6.5%
Nagpur APMC,2371.32,2378.24,2274.26,-0.3%,4.3%
Nampur APMC,2039.0355305585658,1978.8691843062024,1553.0,-,-
Nanded APMC,2215.71,2118.69,3782.43,4.6%,-41.4%
Nandgaon APMC,2419.91,2265.76,2107.14,6.8%,14.8%
Nandgaon Khandeshwar APMC,2087.5106041071567,2025.4049353446571,1637.93,-,-
Nandura APMC,2576.17,2433.0592838621887,2003.21,-,28.6%
Nandurbar APMC,2187.74,2195.71,1727.86,-0.4%,26.6%
Navapur APMC,1875.0,1863.0137876745644,1598.0228814051134,-,-
Newasa APMC,2250.0,2500.0,2084.62,-10.0%,7.9%
Nira(Saswad) APMC,2374.24,2341.86,2213.57,1.4%,7.3%
Pachora APMC,2054.3548638217726,1993.5756432473552,1579.84,-,-
Paithan APMC,2239.94,2162.29,1748.57,3.6%,28.1%
Palghar APMC,2710.61,2544.13,2484.14,6.5%,9.1%
Pandharpur APMC,2225.6756936386228,2158.042510452143,1880.0,-,-
Parali Vaijyanath APMC,2167.991347539805,2100.0,1810.9834637961217,-,-
Paranda APMC,2322.31,2242.86,1838.57,3.5%,26.3%
Parbhani APMC,2197.61,1738.54,1828.57,26.4%,20.2%
Partur APMC,2296.16,2096.5,1707.81,9.5%,34.5%
Pathardi APMC,1936.84,1952.0,2017.65,-0.8%,-4.0%
Pathari APMC,2231.18,2256.75,1586.72,-1.1%,40.6%
Patur APMC,1941.1,1864.43,1548.9,4.1%,25.3%
Phaltan APMC,2400.0,2299.45,1985.7203253880714,4.4%,-
Pulgaon APMC,2141.67,2159.21,1580.38,-0.8%,35.5%
Pune APMC,4075.22,4059.08,4396.61,0.4%,-7.3%
Purna APMC,2600.0,2408.130398130268,1663.12,-,56.3%
Rahata APMC,2158.25,2043.26,1716.22,5.6%,25.8%
Rahuri APMC,2282.61,2025.0,1660.86,12.7%,37.4%
Rahuri(Vambori) APMC,2278.18,2078.22,1602.5,9.6%,42.2%
Ramtek APMC,1999.08,1995.24,1629.4,0.2%,22.7%
Raver APMC,2134.44,2112.53,1764.19,1.0%,21.0%
Sangamner APMC,2231.08,2185.85,1749.73,2.1%,27.5%
Sangli APMC,3059.84,2858.83,2532.79,7.0%,20.8%
Sangrampur(Varvatbakal) APMC,2205.9557620349033,2139.1115061147043,1845.45,-,-
Satana APMC,2233.58,2140.42,1928.47,4.3%,15.8%
Savner APMC,2009.62,1976.17,1697.41,1.7%,18.4%
Selu APMC,2196.25,2307.29,1683.33,-4.8%,30.5%
Shahada APMC,2184.64,2174.79,1768.95,0.5%,23.5%
Shegaon APMC,2224.49,1943.27,2043.83,14.5%,8.8%
Shevgaon APMC,2318.73,2279.13,1827.5,1.7%,26.9%
Shevgaon(Bodhegaon) APMC,2258.06,2081.62,1877.61,8.5%,20.3%
Shirpur APMC,2210.0,2197.41,1677.88,0.6%,31.7%
Shirur APMC,2170.0,1742.86,1696.15,24.5%,27.9%
Shrigonda APMC,2287.1,2234.17,2000.0,2.4%,14.3%
Shrigonda(Gogargaon) APMC,2223.08,2005.79,1998.95,10.8%,11.2%
Shrirampur APMC,2125.0,2134.56,1658.21,-0.5%,28.1%
Shrirampur(Belapur) APMC,1850.0,1785.71,1655.15,3.6%,11.8%
Sillod APMC,2106.39,2090.31,1664.48,0.8%,26.6%
Sillod(Bharadi) APMC,2103.41,2089.36,1668.37,0.7%,26.1%
Sindi APMC,1961.2,1975.33,1673.5,-0.7%,17.2%
Sindi(Selu) APMC,2099.09,2139.63,1675.28,-1.9%,25.3%
Sinner APMC,2282.22,2194.75,1895.2298391618751,4.0%,-
Solapur APMC,2756.86,2728.81,2640.97,1.0%,4.4%
Sonpeth APMC,2555.5,2402.4498068223984,1881.0,-,35.9%
Tadkalas APMC,1803.06,1847.5,1567.8189022495114,-2.4%,-
Taloda APMC,2290.37,2282.74,1754.09,0.3%,30.6%
Tasgaon APMC,2107.07,2109.74,2118.96,-0.1%,-0.6%
Telhara APMC,1923.8120243912706,1847.47,1605.0245474209444,-,-
Tuljapur APMC,2425.0,2134.15,1938.1,13.6%,25.1%
Tumsar APMC,2016.66,2018.67,1623.44,-0.1%,24.2%
Ulhasnagar APMC,2666.79,2510.53,2555.6,6.2%,4.3%
Umared APMC,2000.0,2100.0,2100.0,-4.8%,-4.8%
Umarga APMC,2200.0,1883.33,1708.7166638270157,16.8%,-
Umari APMC,1802.8101612510197,1722.33,1502.9626189562482,-,-
Umarked(Danki) APMC,1966.67,1922.22,1912.5,2.3%,2.8%
Umarkhed APMC,1900.0,1883.8442023061775,1616.5093702395238,-,-
Vaduj APMC,2070.0,2081.25,2013.89,-0.5%,2.8%
Vadvani APMC,1900.0,2593.5,1983.7777717755469,-26.7%,-
Vaijpur APMC,2244.23,2134.26,1794.49,5.2%,25.1%
Varud(Rajura Bazar) APMC,1839.67,1961.5,1638.1021985802197,-6.2%,-
Vasai APMC,3471.31,3488.7,2830.26,-0.5%,22.6%
Wardha APMC,2172.24,2127.32,1700.47,2.1%,27.7%
Washim APMC,1973.58,2017.57,1645.75,-2.2%,19.9%
Washim(Ansing) APMC,1950.56,2030.5,1569.74,-3.9%,24.3%
Yawal APMC,2221.47,2086.91,1820.693502716782,6.5%,-
Yeola APMC,2174.83,2151.56,1637.61,1.1%,32.8%
Yeotmal APMC,2095.78,2103.17,1663.51,-0.3%,26.0%
Average,2211.97,2134.08,1860.57,-,-
Note:,2203.590280950322,2136.8025454811195,1841.0030798430212,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2203.590280950322,2136.8025454811195,1841.0030798430212,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2203.590280950322,2136.8025454811195,1841.0030798430212,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2203.590280950322,2136.8025454811195,1841.0030798430212,,
