Market,"Prices February, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Kopargaon APMC,1956.87,1954.14,1692.37,0.1%,15.6%
Kurdwadi APMC,2021.0,2061.581692041773,1837.5578187883086,-,-
Kurdwadi(Modnimb) APMC,1785.71,1643.33,1518.18,8.7%,17.6%
Lasalgaon APMC,2752.18,2076.61,1676.44,32.5%,64.2%
Lasalgaon(Niphad) APMC,2046.67,2090.72,1695.84,-2.1%,20.7%
Lasalgaon(Vinchur) APMC,1984.14,2118.0,1692.51,-6.3%,17.2%
Lasur Station APMC,1951.75,1984.63,1628.52,-1.7%,19.9%
Latur APMC,2050.15,2094.0319422294942,1853.54,-,10.6%
Latur(Murud) APMC,1812.6812954765712,1553.49,1700.0,-,-
Loha APMC,1728.0,1630.2,1687.56,6.0%,2.4%
Lonar APMC,1845.97,1879.85,1619.97,-1.8%,13.9%
Majalgaon APMC,1955.53,1977.95,1656.5,-1.1%,18.1%
Malegaon APMC,1998.43,2006.39,1697.64,-0.4%,17.7%
Malegaon(Vashim) APMC,1300.0,1262.0526106403229,1675.11,-,-22.4%
Malkapur APMC,1840.72,1904.24,1616.88,-3.3%,13.8%
Mandhal APMC,1764.2220333438006,1773.1129169693909,1500.0,-,-
Mangal Wedha APMC,2258.57,6120.0,1678.0,-63.1%,34.6%
Mangrulpeer APMC,1833.75,1788.85,1680.96,2.5%,9.1%
Manmad APMC,1894.05,1871.27,1656.64,1.2%,14.3%
Manora APMC,1777.5,1788.8788362784119,1581.25,-,12.4%
Mantha APMC,1782.76,1724.17,1534.78,3.4%,16.2%
Mehekar APMC,1795.05,1826.67,1507.0,-1.7%,19.1%
Morshi APMC,1735.29,1802.35,1620.72,-3.7%,7.1%
Mudkhed APMC,1764.2220333438006,1773.1129169693909,1500.0,-,-
Mumbai APMC,2811.71,2981.65,3325.81,-5.7%,-15.5%
Murtizapur APMC,1751.01,1772.38,1633.79,-1.2%,7.2%
Murum APMC,1720.0,1776.0,1978.0,-3.1%,-13.0%
Nagpur APMC,2355.95,2368.45,2211.87,-0.5%,6.5%
Nampur APMC,1750.0,1742.0,1577.59,0.5%,10.9%
Nanded APMC,1816.67,1843.63,1580.2,-1.5%,15.0%
Nandgaon APMC,1998.12,2019.55,1707.96,-1.1%,17.0%
Nandgaon Khandeshwar APMC,1618.0,1612.0,1400.0,0.4%,15.6%
Nandura APMC,1762.5,1882.68,1608.74,-6.4%,9.6%
Nandurbar APMC,2011.59,2067.32,1595.55,-2.7%,26.1%
Newasa APMC,2090.4972217982804,2100.0,2016.67,-,-
Nilanga APMC,1750.0,2300.0,2180.0,-23.9%,-19.7%
Nira(Saswad) APMC,2282.46,2100.0,2110.33712687318,8.7%,-
Pachora APMC,1847.3599660029272,1825.03,1646.14,-,-
Paithan APMC,1941.01,2061.62,1652.06,-5.8%,17.5%
Palghar APMC,2672.97,2651.82,2542.32,0.8%,5.1%
Pandharpur APMC,2075.0,2122.0505261758117,1893.844972676148,-,-
Paranda APMC,1858.0,1660.0,1675.0,11.9%,10.9%
Parbhani APMC,1510.0,1495.4258824586627,1760.04,-,-14.2%
Partur APMC,1975.43,1899.79,1604.4,4.0%,23.1%
Pathardi APMC,1850.0,1900.0,2025.0,-2.6%,-8.6%
Pathari APMC,1770.2,1638.25,1392.4,8.1%,27.1%
Patur APMC,1665.04,1704.21,1477.5,-2.3%,12.7%
Phaltan APMC,2112.31,2233.33,1800.0,-5.4%,17.4%
Pulgaon APMC,1862.4679920607398,1883.7616214702637,1650.0,-,-
Pune APMC,3492.04,4139.18,4197.2,-15.6%,-16.8%
Rahata APMC,1897.86,1940.77,1635.0,-2.2%,16.1%
Rahuri APMC,2000.0,1950.0,1641.67,2.6%,21.8%
Rahuri(Vambori) APMC,1920.56,1903.0,1536.86,0.9%,25.0%
Ramtek APMC,1823.39,1788.98,1547.41,1.9%,17.8%
Raver APMC,1922.16,1973.07,1672.09,-2.6%,15.0%
Sangamner APMC,2010.61,2070.0,1724.16,-2.9%,16.6%
Sangli APMC,2669.11,2678.91,2496.51,-0.4%,6.9%
Sangrampur(Varvatbakal) APMC,1765.094137893372,1750.0,1512.5,-,-
Satana APMC,2101.69,2054.21,1672.25,2.3%,25.7%
Savner APMC,1868.52,1859.42,1678.6498527407011,0.5%,-
Selu APMC,1700.0,1870.0,1810.0,-9.1%,-6.1%
Sengoan APMC,1698.7247275325078,1699.3471139688093,1400.0,-,-
Shahada APMC,1946.26,1985.03,1720.85,-1.9%,13.1%
Shegaon APMC,1727.63,1740.91,1491.0,-0.8%,15.9%
Shevgaon APMC,2119.23,2569.44,1512.12,-17.5%,40.1%
Shevgaon(Bodhegaon) APMC,1916.67,1935.0,1505.56,-0.9%,27.3%
Shirpur APMC,1871.63,1938.59,1650.6,-3.5%,13.4%
Shirur APMC,1697.5,1685.88,1451.56,0.7%,16.9%
Shrigonda APMC,1979.84,1982.86,1996.41,-0.1%,-0.8%
Shrigonda(Gogargaon) APMC,1984.35,1985.93,1799.388879562154,-0.1%,-
Shrirampur APMC,1868.75,1787.5,1560.08,4.5%,19.8%
Shrirampur(Belapur) APMC,1600.0,1616.67,1550.0,-1.0%,3.2%
Sillod APMC,1925.0,1993.89,1626.67,-3.5%,18.3%
Sillod(Bharadi) APMC,1883.87,1917.26,1608.62,-1.7%,17.1%
Sindi(Selu) APMC,1906.7,1848.15,1466.4,3.2%,30.0%
Sinner APMC,2113.25,2164.69,1722.98,-2.4%,22.6%
Solapur APMC,2670.43,2639.67,2509.46,1.2%,6.4%
Sonpeth APMC,1600.0,1590.1487444412148,1398.7264894034856,-,-
Tadkalas APMC,1566.0,1627.1,1363.2140771356185,-3.8%,-
Taloda APMC,1841.2667625707243,1850.0,1622.22,-,-
Tasgaon APMC,2062.63,2102.97,2260.89,-1.9%,-8.8%
Telhara APMC,1751.59,1827.71,1538.24,-4.2%,13.9%
Tuljapur APMC,1711.11,1600.0,1514.652975576122,6.9%,-
Tumsar APMC,1898.43,1878.02,1622.61,1.1%,17.0%
Ulhasnagar APMC,2589.26,2720.71,2542.68,-4.8%,1.8%
Umared APMC,2100.0,2113.61,2114.71,-0.6%,-0.7%
Umarga APMC,1617.5,1750.0,1416.8324486206207,-7.6%,-
Umarked(Danki) APMC,1925.71,1900.0,2025.0,1.4%,-4.9%
Umarkhed APMC,1900.0,1900.0,1711.4580407019075,-,-
Vaduj APMC,1975.0,1971.59,1955.0,0.2%,1.0%
Vadvani APMC,1963.9888160682438,1998.0986161211652,1805.0,-,-
Vaijpur APMC,1953.01,1964.41,1766.7083946320565,-0.6%,-
Vani APMC,2052.4101789134893,2097.682450171951,1940.0,-,-
Varud(Rajura Bazar) APMC,1899.0,1785.5,1710.525007997333,6.4%,-
Vasai APMC,3487.74,3404.72,3366.709742170149,2.4%,-
Wardha APMC,1912.55,1881.11,1637.05,1.7%,16.8%
Washim APMC,1769.5,1649.71,1601.24,7.3%,10.5%
Washim(Ansing) APMC,1810.9958342821585,1800.0,1583.33,-,-
Yawal APMC,1838.33,1840.0,1715.0,-0.1%,7.2%
Yeola APMC,1886.15,2010.88,1626.92,-6.2%,15.9%
Yeotmal APMC,1843.5,1862.6,1582.62,-1.0%,16.5%
Average,1923.51,1958.89,1718.1,-,-
Note:,1908.5472615508818,1935.6578770728509,1720.3421515514026,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,1908.5472615508818,1935.6578770728509,1720.3421515514026,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,1908.5472615508818,1935.6578770728509,1720.3421515514026,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,1908.5472615508818,1935.6578770728509,1720.3421515514026,,
