Market,"Prices December, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Sinner APMC,2550.0,2705.0849505168453,2760.71,-,-7.6%
Solapur APMC,2834.08,2909.82,2848.74,-2.6%,-0.5%
Sonpeth APMC,2267.215165750681,2269.41389924784,2250.0,-,-
Tadkalas APMC,2207.33,2255.572754182919,2287.6697946658614,-,-
Taloda APMC,2710.4926881402025,2800.0,2696.3053188930435,-,-
Tasgaon APMC,2914.44,2723.1,2337.0,7.0%,24.7%
Telhara APMC,2566.21,2584.64,2555.81,-0.7%,0.4%
Tumsar APMC,2400.75,2417.33,2380.33,-0.7%,0.9%
Ulhasnagar APMC,3361.82,3299.65,3246.74,1.9%,3.5%
Umared APMC,2807.69,2531.36,2200.0,10.9%,27.6%
Umarga APMC,2940.8372196927016,3160.0,2902.933347678139,-,-
Umarked(Danki) APMC,2137.1633648216557,2177.27,2100.0,-,-
Vaduj APMC,2350.0,2350.0,2500.0,-,-6.0%
Vaijpur APMC,2699.35,2740.0,2711.63,-1.5%,-0.5%
Varud(Rajura Bazar) APMC,2486.8309688539334,2516.0076836222606,2476.0,-,-
Vasai APMC,3388.82,3468.75,3463.18,-2.3%,-2.1%
Wardha APMC,2478.75,2518.16,2503.33,-1.6%,-1.0%
Washim APMC,2639.55,2599.36,2224.8,1.6%,18.6%
Washim(Ansing) APMC,2433.33,2503.85,2262.5,-2.8%,7.5%
Yawal APMC,2596.0649980332073,2800.0,2540.0,-,-
Yeola APMC,2636.57,2758.2,2677.44,-4.4%,-1.5%
Yeotmal APMC,2458.33,2462.35,2614.91,-0.2%,-6.0%
Average,2664.88,2696.76,2644.65,-,-
Note:,2635.8195212326655,2683.3162257206686,2629.3142310992002,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2635.8195212326655,2683.3162257206686,2629.3142310992002,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2635.8195212326655,2683.3162257206686,2629.3142310992002,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2635.8195212326655,2683.3162257206686,2629.3142310992002,,
