Market,"Arrivals March, 2022 (Metric Tonnes)","Arrivals February, 2022 (Metric Tonnes)","Arrivals March, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Kalvan APMC,7.0,-15.7781886649242,45.0,-,-84.4%
Kandhar APMC,40.0,22.0,30.57080761197936,81.8%,-
Kannad APMC,175.0,60.0,164.0,191.7%,6.7%
Karanja APMC,3309.0,463.0,8720.0,614.7%,-62.0%
Karjat(Raigad) APMC,125.0,85.0,104.0,47.1%,20.2%
Karmala APMC,34.0,14.0,33.0,142.9%,3.0%
Katol APMC,367.0,16.0,373.0,2193.8%,-1.6%
Khamgaon APMC,466.0,281.0,908.0,65.8%,-48.7%
Kille Dharur APMC,26.0,17.0,50.0,52.9%,-48.0%
Kopargaon APMC,269.0,63.0,718.0,327.0%,-62.5%
Kurdwadi APMC,3.0,1.0,2.0,200.0%,50.0%
Kurdwadi(Modnimb) APMC,27.0,14.0,20.0,92.9%,35.0%
Lakhandur APMC,27.0,3.4708764380120574,2.0,-,1250.0%
Lasalgaon APMC,480.0,276.0,1068.0,73.9%,-55.1%
Lasalgaon(Niphad) APMC,171.0,61.0,273.0,180.3%,-37.4%
Lasalgaon(Vinchur) APMC,238.0,42.0,1132.0,466.7%,-79.0%
Lasur Station APMC,2030.0,485.0,2418.0,318.6%,-16.1%
Latur APMC,596.0,323.0,1995.0,84.5%,-70.1%
Latur(Murud) APMC,92.94052292467133,26.591855780648316,91.0,-,-
Loha APMC,23.0,7.0,7.0,228.6%,228.6%
Lonar APMC,252.0,229.0,71.0,10.0%,254.9%
Majalgaon APMC,92.0,81.0,110.0,13.6%,-16.4%
Malegaon APMC,735.0,180.0,1034.0,308.3%,-28.9%
Malegaon(Vashim) APMC,554.7508841189169,6.0,847.0,-,-
Malkapur APMC,934.0,230.0,1115.0,306.1%,-16.2%
Mandhal APMC,14.27969993933965,-3.8158942518607972,1.0,-,-
Mangal Wedha APMC,23.0,7.0,47.0,228.6%,-51.1%
Mangrulpeer APMC,241.0,20.0,594.0,1105.0%,-59.4%
Manmad APMC,87.0,62.0,138.0,40.3%,-37.0%
Manora APMC,82.0,2.0,204.0,4000.0%,-59.8%
Mantha APMC,50.0,29.0,84.0,72.4%,-40.5%
Manwat APMC,19.0,-7.865015411732847,40.0,-,-52.5%
Mauda APMC,3.0,-9.65258674635091,-3.4609085412580036,-,-
Mehekar APMC,96.0,109.0,297.0,-11.9%,-67.7%
Morshi APMC,293.0,143.0,149.0,104.9%,96.6%
Mumbai APMC,19359.0,11733.0,19787.0,65.0%,-2.2%
Murtizapur APMC,703.0,79.0,724.0,789.9%,-2.9%
Murum APMC,13.0,3.0,16.0,333.3%,-18.8%
Nagpur APMC,5685.0,2693.0,2010.0,111.1%,182.8%
Nampur APMC,22.145267560260958,1.0,8.0,-,-
Nanded APMC,42.0,24.0,52.0,75.0%,-19.2%
Nandgaon APMC,99.0,66.0,202.0,50.0%,-51.0%
Nandgaon Khandeshwar APMC,97.17627304631057,1.0,127.0,-,-
Nandura APMC,169.78301960669864,16.0,225.0,-,-
Nandurbar APMC,2133.0,198.0,1552.0,977.3%,37.4%
Newasa APMC,3.0,-12.705111011502417,14.0,-,-78.6%
Nilanga APMC,20.344317405577677,2.0,4.0,-,-
Nira(Saswad) APMC,43.0,28.0,31.765644358067867,53.6%,-
Pachora APMC,447.7882355029453,163.76459481618943,497.0,-,-
Paithan APMC,115.0,68.0,294.0,69.1%,-60.9%
Palghar APMC,126.0,101.0,105.0,24.8%,20.0%
Pandharpur APMC,18.362191653401315,1.0,2.0,-,-
Parali Vaijyanath APMC,1.0,-10.429067133556485,-5.730082693469591,-,-
Paranda APMC,7.0,5.0,5.0,40.0%,40.0%
Parbhani APMC,144.0,9.0,102.0,1500.0%,41.2%
Parola APMC,406.70980572171663,147.88499202143475,450.0,-,-
Partur APMC,54.0,44.0,99.0,22.7%,-45.5%
Pathardi APMC,25.0,24.0,18.0,4.2%,38.9%
Pathari APMC,16.0,5.0,47.0,220.0%,-66.0%
Patur APMC,30.0,24.0,42.0,25.0%,-28.6%
Phaltan APMC,157.0,65.0,164.42498280668923,141.5%,-
Pulgaon APMC,38.0,2.9305392294584394,42.0,-,-9.5%
Pune APMC,1016.0,993.0,150.0,2.3%,577.3%
Purna APMC,19.523754805028428,-1.7887109163601878,7.0,-,-
Rahata APMC,68.0,29.0,99.0,134.5%,-31.3%
Rahuri APMC,2.0,1.0,312.0,100.0%,-99.4%
Rahuri(Vambori) APMC,27.0,16.0,90.0,68.8%,-70.0%
Ramtek APMC,2911.0,51.0,708.0,5607.8%,311.2%
Raver APMC,103.0,32.0,343.0,221.9%,-70.0%
Sangamner APMC,20.0,23.0,67.0,-13.0%,-70.2%
Sangli APMC,1090.0,772.0,591.0,41.2%,84.4%
Sangrampur(Varvatbakal) APMC,23.01979138215428,-0.4372553593597832,11.0,-,-
Satana APMC,50.0,52.0,77.0,-3.9%,-35.1%
Savner APMC,120.0,62.0,117.2533567136291,93.5%,-
Selu APMC,7.0,2.0,4.0,250.0%,75.0%
Sengoan APMC,14.27969993933965,-3.8158942518607972,1.0,-,-
Shahada APMC,395.0,38.0,1276.0,939.5%,-69.0%
Shegaon APMC,26.0,19.0,111.0,36.8%,-76.6%
Shevgaon APMC,103.0,65.0,155.0,58.5%,-33.5%
Shevgaon(Bodhegaon) APMC,34.0,21.0,73.0,61.9%,-53.4%
Shirpur APMC,1531.0,104.0,2438.0,1372.1%,-37.2%
Shirur APMC,14.0,10.0,28.0,40.0%,-50.0%
Shrigonda APMC,84.0,32.0,344.0,162.5%,-75.6%
Shrigonda(Gogargaon) APMC,76.0,54.0,34.0,40.7%,123.5%
Shrirampur APMC,34.0,20.0,151.0,70.0%,-77.5%
Shrirampur(Belapur) APMC,7.0,5.0,44.0,40.0%,-84.1%
Sillod APMC,1001.0,622.0,1623.0,60.9%,-38.3%
Sillod(Bharadi) APMC,47.0,31.0,24.0,51.6%,95.8%
Sindi APMC,15.0,-4.442296815179295,7.0,-,114.3%
Sindi(Selu) APMC,511.0,47.0,470.0,987.2%,8.7%
Sinner APMC,80.0,106.0,422.0,-24.5%,-81.0%
Solapur APMC,3117.0,2168.0,1827.0,43.8%,70.6%
Sonpeth APMC,203.07063949977638,1.0,294.94962997404315,-,-
Tadkalas APMC,20.0,7.0,3.0,185.7%,566.7%
Taloda APMC,171.0,43.71014787618638,255.0,-,-32.9%
Tasgaon APMC,39.0,38.0,41.0,2.6%,-4.9%
Telhara APMC,97.0,66.0,69.0,47.0%,40.6%
Tuljapur APMC,41.0,9.0,2.0,355.6%,1950.0%
Tumsar APMC,603.0,171.0,221.0,252.6%,172.8%
Ulhasnagar APMC,655.0,698.0,254.0,-6.2%,157.9%
Umared APMC,165.0,195.0,67.0,-15.4%,146.3%
Umarga APMC,6.0,2.0,-4.898769859406204,200.0%,-
Umari APMC,3.0,-9.65258674635091,-3.4609085412580036,-,-
Umarked(Danki) APMC,27.0,35.0,12.0,-22.9%,125.0%
Umarkhed APMC,32.59942311362202,12.0,12.0,-,-
Vaduj APMC,20.0,15.0,13.0,33.3%,53.9%
Vadvani APMC,2.0,-10.040826939953698,-4.595495617363799,-,-
Vaijpur APMC,305.0,143.0,322.9603574489871,113.3%,-
Varud(Rajura Bazar) APMC,4.0,1.0,1.0,300.0%,300.0%
Vasai APMC,463.0,381.0,421.52157939352,21.5%,-
Wardha APMC,1230.0,53.0,1148.0,2220.8%,7.1%
Washim APMC,2390.0,564.0,1782.0,323.8%,34.1%
Washim(Ansing) APMC,423.0,213.0335546813907,132.0,-,220.4%
Yawal APMC,136.0,30.0,315.0,353.3%,-56.8%
Yeola APMC,84.0,55.0,396.0,52.7%,-78.8%
Yeotmal APMC,388.0,52.0,290.0,646.1%,33.8%
Total,84482.0,32116.0,96638.0,-,-
Note:,951.2801822515685,358.4392530683753,1072.8381720405164,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,951.2801822515685,358.4392530683753,1072.8381720405164,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,951.2801822515685,358.4392530683753,1072.8381720405164,,
