,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - November, 2023",,
Rahuri(Vambori) APMC,2643.3,2417.4,2801.71,9.3%,-5.7%
Ramtek APMC,2641.74,-,2426.98,-,8.8%
Raver APMC,2790.29,2439.62,2572.67,14.4%,8.5%
Sakri APMC,2865.0,2461.56,-,16.4%,-
Sangamner APMC,2671.67,-,2908.75,-,-8.2%
Sangli APMC,3580.13,3433.83,3475.6,4.3%,3.0%
Sangrampur(Varvatbakal) APMC,2550.0,2300.0,2242.86,10.9%,13.7%
"Sant Namdev Krushi Bazar,  APMC",0.0,-,-,-,-
Satana APMC,2627.57,2567.55,2503.19,2.3%,5.0%
Savner APMC,2464.39,2374.35,2343.8,3.8%,5.2%
Selu APMC,2501.5,2430.44,-,2.9%,-
Shahada APMC,2667.24,2597.47,2634.2,2.7%,1.2%
Shegaon APMC,-,2425.0,2260.0,-,-
Shekari Krushi Khajgi Bazar APMC,-,0.0,-,-,-
Shevgaon APMC,2724.17,2399.47,2697.6,13.5%,1.0%
Shevgaon(Bodhegaon) APMC,2596.15,2488.46,2580.0,4.3%,0.6%
Shirpur APMC,2654.05,2508.39,2597.27,5.8%,2.2%
Shirur APMC,-,-,2500.0,-,-
Shree Salasar Krushi Bazar  APMC,-,2000.0,-,-,-
Shrigonda APMC,2344.44,2242.0,2373.91,4.6%,-1.2%
Shrigonda(Gogargaon) APMC,-,-,2246.49,-,-
Shrirampur APMC,2494.12,2448.78,2405.36,1.9%,3.7%
Shrirampur(Belapur) APMC,2368.18,2270.27,2234.09,4.3%,6.0%
Sillod APMC,2740.5,2522.04,2595.0,8.7%,5.6%
Sillod(Bharadi) APMC,2633.33,2506.67,2613.33,5.0%,0.8%
Sindi(Selu) APMC,2388.0,2233.33,2412.68,6.9%,-1.0%
Sinner APMC,-,2572.4,2811.32,-,-
Solapur APMC,2909.82,2774.71,2773.99,4.9%,4.9%
Sonpeth APMC,-,2475.0,-,-,-
Taloda APMC,2800.0,-,-,-,-
Tasgaon APMC,2723.1,2715.6,2235.11,0.3%,21.8%
Telhara APMC,2584.64,2447.87,2399.49,5.6%,7.7%
Tuljapur APMC,-,-,2500.0,-,-
Tumsar APMC,2417.33,2456.89,2441.73,-1.6%,-1.0%
Ulhasnagar APMC,3299.65,3295.7,3182.25,0.1%,3.7%
Umared APMC,2531.36,2686.54,2226.04,-5.8%,13.7%
Umarga APMC,3160.0,-,2200.0,-,43.6%
Umarked(Danki) APMC,2177.27,2100.0,2100.0,3.7%,3.7%
Vaduj APMC,2350.0,2300.0,2462.5,2.2%,-4.6%
Vadvani APMC,-,2400.0,2401.0,-,-
Vaijpur APMC,2740.0,2556.64,2559.74,7.2%,7.0%
Vasai APMC,3468.75,3410.9,3405.6,1.7%,1.9%
Wardha APMC,2518.16,2519.29,2432.5,-0.0%,3.5%
Washim APMC,2599.36,2228.69,2279.69,16.6%,14.0%
Washim(Ansing) APMC,2503.85,2442.86,2311.11,2.5%,8.3%
Yawal APMC,2800.0,2623.0,2540.0,6.8%,10.2%
Yeola APMC,2758.2,2626.16,2707.91,5.0%,1.9%
Yeotmal APMC,2462.35,2428.05,2475.33,1.4%,-0.5%
Average,2696.76,2532.92,2573.79,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

