,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - March, 2023",,
Kalvan APMC,2240.14,-,2036.57,-,10.0%
Kandhar APMC,-,1793.33,1520.0,-,-
Kannad APMC,2267.79,2528.2,2194.41,-10.3%,3.3%
Karanja APMC,2053.08,2159.59,2108.36,-4.9%,-2.6%
Karjat(Raigad) APMC,2327.54,2525.79,1966.4,-7.8%,18.4%
Karmala APMC,2279.94,2508.66,2041.59,-9.1%,11.7%
Katol APMC,2108.5,2188.76,2015.61,-3.7%,4.6%
Khamgaon APMC,1968.33,2159.96,2048.02,-8.9%,-3.9%
Kille Dharur APMC,2697.44,2877.29,2175.73,-6.2%,24.0%
Kopargaon APMC,2186.75,2392.42,2148.13,-8.6%,1.8%
Kurdwadi APMC,2451.0,2900.0,2157.0,-15.5%,13.6%
Kurdwadi(Modnimb) APMC,2391.67,2578.57,2294.44,-7.2%,4.2%
Lakhandur APMC,-,-,1892.04,-,-
Lasalgaon APMC,2306.55,2507.63,2240.23,-8.0%,3.0%
Lasalgaon(Niphad) APMC,2192.02,2549.93,2171.89,-14.0%,0.9%
Lasalgaon(Vinchur) APMC,2267.56,2507.97,2214.74,-9.6%,2.4%
Lasur Station APMC,2333.08,2431.73,2209.73,-4.1%,5.6%
Latur APMC,-,-,2456.88,-,-
Latur(Murud) APMC,2545.0,3025.0,-,-15.9%,-
Loha APMC,2635.63,2587.55,1995.3,1.9%,32.1%
Lonar APMC,-,2543.34,2061.47,-,-
Majalgaon APMC,2500.22,2620.95,2198.63,-4.6%,13.7%
Malegaon APMC,2209.91,2314.56,2161.76,-4.5%,2.2%
Malkapur APMC,2335.67,2319.97,2085.91,0.7%,12.0%
Mandhal APMC,2641.67,2960.0,-,-10.8%,-
Mangal Wedha APMC,2733.33,3175.0,2642.61,-13.9%,3.4%
Mangrulpeer APMC,2169.79,2209.16,2147.93,-1.8%,1.0%
Manmad APMC,2205.1,2373.71,2111.32,-7.1%,4.4%
Manora APMC,2015.08,2183.14,2247.24,-7.7%,-10.3%
Mantha APMC,2166.67,2765.0,2060.0,-21.6%,5.2%
Manwat APMC,2282.06,2412.74,2384.63,-5.4%,-4.3%
Mauda APMC,1960.0,-,1905.0,-,2.9%
Mehekar APMC,2170.94,2616.5,1889.58,-17.0%,14.9%
Mohol APMC,2550.0,-,-,-,-
Morshi APMC,2051.09,2588.51,1937.55,-20.8%,5.9%
Mudkhed APMC,2283.33,-,-,-,-
Mumbai APMC,4016.44,4150.0,2750.0,-3.2%,46.0%
Murtizapur APMC,2163.97,2170.29,2126.61,-0.3%,1.8%
Murum APMC,2550.97,2579.91,2071.08,-1.1%,23.2%
Nagpur APMC,2656.5,2899.96,2378.24,-8.4%,11.7%
Nampur APMC,2225.0,-,-,-,-
Nanded APMC,2404.51,2564.83,2118.69,-6.2%,13.5%
Nandgaon APMC,2477.02,2474.03,2265.76,0.1%,9.3%
Nandgaon Khandeshwar APMC,2095.0,2076.67,-,0.9%,-
Nandura APMC,2436.47,2329.5,-,4.6%,-
Nandurbar APMC,2145.89,2260.18,2195.71,-5.1%,-2.3%
Navapur APMC,2119.91,2211.51,-,-4.1%,-
Newasa APMC,2105.77,2500.0,2500.0,-15.8%,-15.8%
Nilanga APMC,-,2900.0,-,-,-
Nira(Saswad) APMC,2898.61,3272.22,2341.86,-11.4%,23.8%
Pachora APMC,2238.21,2360.53,-,-5.2%,-
Paithan APMC,2327.3,2410.15,2162.29,-3.4%,7.6%
Palghar APMC,3150.66,3078.41,2544.13,2.4%,23.8%
Parali Vaijyanath APMC,1800.0,-,2100.0,-,-14.3%
Paranda APMC,2318.75,2700.0,2242.86,-14.1%,3.4%
Parbhani APMC,2767.11,2800.0,1738.54,-1.2%,59.2%
Parola APMC,2232.86,2267.62,-,-1.5%,-
Partur APMC,2251.53,2685.96,2096.5,-16.2%,7.4%
Pathardi APMC,2066.67,2178.95,1952.0,-5.2%,5.9%
Pathari APMC,2144.33,2425.5,2256.75,-11.6%,-5.0%
Patur APMC,1943.03,2184.7,1864.43,-11.1%,4.2%
Phaltan APMC,2604.41,2670.0,2299.45,-2.5%,13.3%
Pulgaon APMC,201.37,2080.0,2159.21,-90.3%,-90.7%
Pune APMC,4515.78,4284.7,4059.08,5.4%,11.2%
Purna APMC,2201.0,-,-,-,-
Pusad APMC,2210.87,2290.16,-,-3.5%,-
Rahata APMC,2184.55,2336.0,2043.26,-6.5%,6.9%
Rahuri APMC,2055.88,2381.58,2025.0,-13.7%,1.5%
Rahuri(Vambori) APMC,2102.28,2285.71,2078.22,-8.0%,1.2%
Ramtek APMC,2019.85,2226.91,1995.24,-9.3%,1.2%
Raver APMC,2034.1,2384.07,2112.53,-14.7%,-3.7%
Sakri APMC,2291.51,-,-,-,-
Sangamner APMC,2308.5,-,2185.85,-,5.6%
Sangli APMC,3052.82,3377.61,2858.83,-9.6%,6.8%
Satana APMC,2296.16,2410.79,2140.42,-4.8%,7.3%
Savner APMC,2195.43,2253.25,1976.17,-2.6%,11.1%
Selu APMC,2290.81,2200.0,2307.29,4.1%,-0.7%
Shahada APMC,2170.99,2172.99,2174.79,-0.1%,-0.2%
Shegaon APMC,2000.5,-,1943.27,-,3.0%
Shevgaon APMC,2205.6,2554.17,2279.13,-13.7%,-3.2%
Shevgaon(Bodhegaon) APMC,2120.59,2476.92,2081.62,-14.4%,1.9%
Shirpur APMC,2119.72,2279.29,2197.41,-7.0%,-3.5%
Shirur APMC,2379.42,2313.14,1742.86,2.9%,36.5%
Shrigonda APMC,2215.94,2404.55,2234.17,-7.8%,-0.8%
Shrigonda(Gogargaon) APMC,2220.0,2440.0,2005.79,-9.0%,10.7%
Shrirampur APMC,2065.21,2189.29,2134.56,-5.7%,-3.2%
Shrirampur(Belapur) APMC,2001.13,2100.0,1785.71,-4.7%,12.1%
Sillod APMC,2163.11,2427.68,2090.31,-10.9%,3.5%
Sillod(Bharadi) APMC,2087.72,2295.0,2089.36,-9.0%,-0.1%
Sindi APMC,2009.09,-,1975.33,-,1.7%
Sindi(Selu) APMC,2111.11,2437.28,2139.63,-13.4%,-1.3%
Sinner APMC,2267.82,2622.35,2194.75,-13.5%,3.3%
Solapur APMC,2734.86,2947.85,2728.81,-7.2%,0.2%
Sonpeth APMC,2446.88,2997.75,-,-18.4%,-
Tadkalas APMC,-,-,1847.5,-,-
Taloda APMC,2249.5,-,2282.74,-,-1.5%
Tasgaon APMC,2510.42,2412.22,2109.74,4.1%,19.0%
Telhara APMC,2078.44,2346.67,1847.47,-11.4%,12.5%
Tuljapur APMC,2478.9,2616.25,2134.15,-5.2%,16.1%
Tumsar APMC,2158.68,2631.5,2018.67,-18.0%,6.9%
Ulhasnagar APMC,2982.13,3290.8,2510.53,-9.4%,18.8%
Umared APMC,2662.5,3036.14,2100.0,-12.3%,26.8%
Umarga APMC,2285.0,2350.0,1883.33,-2.8%,21.3%
Umari APMC,2300.0,-,1722.33,-,33.5%
Umarked(Danki) APMC,2124.39,-,1922.22,-,10.5%
Vaduj APMC,2550.0,2540.0,2081.25,0.4%,22.5%
Vadvani APMC,-,-,2593.5,-,-
Vaijpur APMC,-,2519.67,2134.26,-,-
Varud APMC,-,2000.0,-,-,-
Varud(Rajura Bazar) APMC,-,-,1961.5,-,-
Vasai APMC,3396.7,3447.27,3488.7,-1.5%,-2.6%
Wardha APMC,2212.16,2346.71,2127.32,-5.7%,4.0%
Washim APMC,1989.66,2099.34,2017.57,-5.2%,-1.4%
Washim(Ansing) APMC,2012.81,2167.22,2030.5,-7.1%,-0.9%
Yawal APMC,2646.17,2661.33,2086.91,-0.6%,26.8%
Yeola APMC,2170.34,2320.53,2151.56,-6.5%,0.9%
Yeotmal APMC,2045.35,2143.88,2103.17,-4.6%,-2.8%
Average,2297.27,2484.33,2134.08,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

