,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - October, 2023",,
Market,"Prices October, 2023 (Rs./Quintal)","Prices September, 2023 (Rs./Quintal)","Prices October, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Pune APMC,4846.61,4894.32,4198.81,-1.0%,15.4%
Purna APMC,2300.0,-,-,-,-
Pusad APMC,2739.93,2624.2,-,4.4%,-
Rahata APMC,2614.1,2581.35,2467.42,1.3%,5.9%
Rahuri APMC,2396.43,-,2337.5,-,2.5%
Rahuri(Vambori) APMC,2417.4,2426.57,2353.44,-0.4%,2.7%
Ramtek APMC,-,2420.0,2252.25,-,-
Raver APMC,2439.62,2517.72,2299.61,-3.1%,6.1%
Sakri APMC,2461.56,2501.0,-,-1.6%,-
Sangamner APMC,-,-,2477.0,-,-
Sangli APMC,3433.83,3362.28,3153.95,2.1%,8.9%
Sangrampur(Varvatbakal) APMC,2300.0,2329.55,1550.0,-1.3%,48.4%
Satana APMC,2567.55,2485.92,2323.67,3.3%,10.5%
Savner APMC,2374.35,2367.56,2144.88,0.3%,10.7%
Selu APMC,2430.44,2438.33,-,-0.3%,-
Shahada APMC,2597.47,2563.46,2366.97,1.3%,9.7%
Shegaon APMC,2425.0,2366.67,2217.5,2.5%,9.4%
Shekari Krushi Khajgi Bazar APMC,0.0,0.0,-,-,-
Shevgaon APMC,2399.47,2431.45,2467.68,-1.3%,-2.8%
Shevgaon(Bodhegaon) APMC,2488.46,2446.43,2187.5,1.7%,13.8%
Shirpur APMC,2508.39,2486.94,2411.76,0.9%,4.0%
Shirur APMC,-,-,2325.0,-,-
Shree Salasar Krushi Bazar  APMC,2000.0,-,-,-,-
Shrigonda APMC,2242.0,2300.0,2289.29,-2.5%,-2.1%
Shrigonda(Gogargaon) APMC,-,-,2265.62,-,-
Shrirampur APMC,2448.78,2290.91,2334.07,6.9%,4.9%
Shrirampur(Belapur) APMC,2270.27,2200.0,2095.24,3.2%,8.3%
Sillod APMC,2522.04,2580.62,2384.8,-2.3%,5.8%
Sillod(Bharadi) APMC,2506.67,2461.67,2330.68,1.8%,7.5%
Sindi(Selu) APMC,2233.33,2078.42,2244.74,7.5%,-0.5%
Sinner APMC,2572.4,2840.0,-,-9.4%,-
Solapur APMC,2774.71,2790.98,2756.15,-0.6%,0.7%
Sonpeth APMC,2475.0,-,2350.0,-,5.3%
Tadkalas APMC,-,2000.0,1950.0,-,-
Tasgaon APMC,2715.6,2671.5,2206.67,1.6%,23.1%
Telhara APMC,2447.87,2396.25,2207.25,2.1%,10.9%
Tuljapur APMC,-,-,2600.0,-,-
Tumsar APMC,2456.89,2280.73,2271.72,7.7%,8.2%
Ulhasnagar APMC,3295.7,3402.97,3086.25,-3.1%,6.8%
Umared APMC,2686.54,2452.94,2158.56,9.5%,24.5%
Umarga APMC,-,2300.0,-,-,-
Umarked(Danki) APMC,2100.0,2133.33,2100.0,-1.6%,-
Vaduj APMC,2300.0,2300.0,2350.0,-,-2.1%
Vadvani APMC,2400.0,-,-,-,-
Vaijpur APMC,2556.64,2503.12,-,2.1%,-
Vani APMC,-,-,2095.0,-,-
Varora APMC,-,-,1900.0,-,-
Vasai APMC,3410.9,3418.6,3413.68,-0.2%,-0.1%
Wardha APMC,2519.29,2489.36,2291.67,1.2%,9.9%
Washim APMC,2228.69,2207.59,2039.74,1.0%,9.3%
Washim(Ansing) APMC,2442.86,2350.0,2212.5,4.0%,10.4%
Yawal APMC,2623.0,2662.92,2517.17,-1.5%,4.2%
Yeola APMC,2626.16,2475.0,2478.27,6.1%,6.0%
Yeotmal APMC,2428.05,2455.47,2248.71,-1.1%,8.0%
Average,2532.92,2486.88,2360.75,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

