Market,"Prices February, 2021 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)","Prices February, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Shirur APMC,1451.56,1426.56,2111.2,1.8%,-31.2%
Shrigonda APMC,1996.41,1999.15,2292.348552301819,-0.1%,-
Shrigonda(Gogargaon) APMC,1994.0258667273852,2000.0,2292.166468051084,-,-
Shrirampur APMC,1560.08,1548.84,2123.91,0.7%,-26.6%
Shrirampur(Belapur) APMC,1550.0,1590.96,1921.43,-2.6%,-19.3%
Sillod APMC,1626.67,1688.37,1984.62,-3.6%,-18.0%
Sillod(Bharadi) APMC,1608.62,1652.63,1862.55,-2.7%,-13.6%
Sindi(Selu) APMC,1466.4,1535.23,1955.0,-4.5%,-25.0%
Sinner APMC,1722.98,1761.66,2223.81,-2.2%,-22.5%
Solapur APMC,2509.46,2505.73,2715.47,0.1%,-7.6%
Taloda APMC,1622.22,1600.0,2100.0,1.4%,-22.8%
Tasgaon APMC,2260.89,2254.78,2522.31,0.3%,-10.4%
Telhara APMC,1538.24,1567.46,1966.98,-1.9%,-21.8%
Tuljapur APMC,1686.467175773629,1676.31811231757,2073.34,-,-
Tumsar APMC,1622.61,1688.49,1952.6,-3.9%,-16.9%
Ulhasnagar APMC,2542.68,2431.75,2800.57,4.6%,-9.2%
Umared APMC,2114.71,2100.0,2100.0,0.7%,0.7%
Umarked(Danki) APMC,2025.0,1950.0,2277.5272067879114,3.9%,-
Vaduj APMC,1955.0,1978.12,2145.65,-1.2%,-8.9%
Vadvani APMC,1805.0,1417.0,1993.072949594259,27.4%,-
Vaijpur APMC,1670.2984883176978,1661.0926082746444,2058.04,-,-
Vani APMC,1940.0,1874.277100490966,2224.569735822286,-,-
Varud(Rajura Bazar) APMC,1556.9754461654634,1537.0,1987.6534672743546,-,-
Vasai APMC,1990.7026941846066,1962.8063710703702,2361.23,-,-
Wardha APMC,1637.05,1595.6374117004075,1952.33,-,-16.1%
Washim APMC,1601.24,1732.81,1917.59,-7.6%,-16.5%
Washim(Ansing) APMC,1583.33,1495.71,1901.0,5.9%,-16.7%
Yawal APMC,1715.0,1734.44,1940.0,-1.1%,-11.6%
Yeola APMC,1626.92,1675.6,1938.07,-2.9%,-16.1%
Yeotmal APMC,1582.62,1535.07,2040.0,3.1%,-22.4%
Average,1718.1,1696.39,2096.58,-,-
Note:,1704.6540362837727,1693.4438811820457,2090.5493517367395,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,1704.6540362837727,1693.4438811820457,2090.5493517367395,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,1704.6540362837727,1693.4438811820457,2090.5493517367395,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,1704.6540362837727,1693.4438811820457,2090.5493517367395,,
