,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - March, 2021",,
Market,"Prices March, 2021 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)","Prices March, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Purna APMC,1728.57,-,-,-,-
Rahata APMC,1694.26,1635.0,1764.13,3.6%,-4.0%
Rahuri APMC,1668.33,1641.67,1874.75,1.6%,-11.0%
Rahuri(Vambori) APMC,1578.87,1536.86,1811.56,2.7%,-12.8%
Ramtek APMC,1654.57,1547.41,1710.3,6.9%,-3.3%
Raver APMC,1728.34,1672.09,1736.29,3.4%,-0.5%
Sakri APMC,-,-,1732.73,-,-
Sangamner APMC,1729.66,1724.16,1788.79,0.3%,-3.3%
Sangli APMC,2494.63,2496.51,2561.13,-0.1%,-2.6%
Sangrampur(Varvatbakal) APMC,1781.82,1512.5,1825.0,17.8%,-2.4%
Satana APMC,1775.06,1672.25,1900.69,6.2%,-6.6%
Savner APMC,-,-,1701.79,-,-
Selu APMC,1671.0,1810.0,-,-7.7%,-
Sengoan APMC,1700.0,1400.0,1700.0,21.4%,-
Shahada APMC,1725.9,1720.85,1815.05,0.3%,-4.9%
Shegaon APMC,2532.43,1491.0,-,69.8%,-
Shevgaon APMC,1783.43,1512.12,1986.07,17.9%,-10.2%
Shevgaon(Bodhegaon) APMC,1739.73,1505.56,1778.57,15.6%,-2.2%
Shirpur APMC,1650.15,1650.6,1768.37,-0.0%,-6.7%
Shirur APMC,1670.54,1451.56,1868.75,15.1%,-10.6%
Shrigonda APMC,1998.78,1996.41,1932.14,0.1%,3.5%
Shrigonda(Gogargaon) APMC,1990.0,-,-,-,-
Shrirampur APMC,1637.98,1560.08,1892.05,5.0%,-13.4%
Shrirampur(Belapur) APMC,1643.18,1550.0,1847.22,6.0%,-11.1%
Sillod APMC,1650.0,1626.67,1805.71,1.4%,-8.6%
Sillod(Bharadi) APMC,1650.0,1608.62,1750.0,2.6%,-5.7%
Sindi APMC,1785.71,-,-,-,-
Sindi(Selu) APMC,1653.06,1466.4,1646.26,12.7%,0.4%
Sinner APMC,1761.23,1722.98,1844.67,2.2%,-4.5%
Solapur APMC,2566.12,2509.46,2637.34,2.3%,-2.7%
Tadkalas APMC,1766.67,-,1800.0,-,-1.9%
Taloda APMC,1738.39,1622.22,1825.43,7.2%,-4.8%
Tasgaon APMC,2224.88,2260.89,2588.0,-1.6%,-14.0%
Telhara APMC,1578.99,1538.24,1970.0,2.6%,-19.9%
Tuljapur APMC,1476.0,-,2229.66,-,-33.8%
Tumsar APMC,1659.11,1622.61,1702.24,2.2%,-2.5%
Ulhasnagar APMC,2565.55,2542.68,2929.21,0.9%,-12.4%
Umared APMC,2100.0,2114.71,2100.0,-0.7%,-
Umarked(Danki) APMC,1850.0,2025.0,-,-8.6%,-
Umarkhed APMC,1950.0,-,-,-,-
Vaduj APMC,1996.15,1955.0,2050.0,2.1%,-2.6%
Vadvani APMC,-,1805.0,-,-,-
Vaijpur APMC,-,-,1920.87,-,-
Vani APMC,-,1940.0,-,-,-
Varud(Rajura Bazar) APMC,1601.0,-,-,-,-
Vasai APMC,-,-,2334.32,-,-
Wardha APMC,1704.0,1637.05,1731.95,4.1%,-1.6%
Washim APMC,1679.06,1601.24,1729.11,4.9%,-2.9%
Washim(Ansing) APMC,1585.68,1583.33,1744.83,0.1%,-9.1%
Yawal APMC,1706.92,1715.0,1862.59,-0.5%,-8.4%
Yeola APMC,1705.45,1626.92,1744.45,4.8%,-2.2%
Yeotmal APMC,1665.47,1582.62,-,5.2%,-
Average,1787.58,1718.1,1899.69,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

