,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2021",,
Market,"Prices January, 2021 (Rs./Quintal)","Prices December, 2020 (Rs./Quintal)","Prices January, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Purna APMC,-,-,2700.0,-,-
Rahata APMC,1640.56,1563.09,2152.26,5.0%,-23.8%
Rahuri APMC,1629.67,1528.02,2104.32,6.7%,-22.6%
Rahuri(Vambori) APMC,1555.57,1410.26,2269.92,10.3%,-31.5%
Ramtek APMC,1559.17,1470.45,-,6.0%,-
Raver APMC,1717.39,1458.13,2223.49,17.8%,-22.8%
Sakri APMC,1461.43,1510.0,1869.74,-3.2%,-21.8%
Sangamner APMC,1693.58,1595.62,2144.27,6.1%,-21.0%
Sangli APMC,2483.12,2458.15,2903.81,1.0%,-14.5%
Sangrampur(Varvatbakal) APMC,1603.57,1509.38,1996.15,6.2%,-19.7%
Satana APMC,1756.3,1692.92,2216.91,3.7%,-20.8%
Savner APMC,-,1540.0,1779.4,-,-
Selu APMC,1500.0,1350.0,-,11.1%,-
Sengoan APMC,1387.5,1425.0,-,-2.6%,-
Shahada APMC,1733.73,1605.58,2129.64,8.0%,-18.6%
Shegaon APMC,1510.45,1355.56,1906.5,11.4%,-20.8%
Shevgaon APMC,1511.56,1490.63,2317.8,1.4%,-34.8%
Shevgaon(Bodhegaon) APMC,1507.14,1574.29,2213.16,-4.3%,-31.9%
Shirpur APMC,1694.19,1515.58,2222.76,11.8%,-23.8%
Shirur APMC,1426.56,1403.33,2311.11,1.7%,-38.3%
Shrigonda APMC,1999.15,1971.79,1892.5,1.4%,5.6%
Shrigonda(Gogargaon) APMC,2000.0,-,-,-,-
Shrirampur APMC,1548.84,1499.18,2132.79,3.3%,-27.4%
Shrirampur(Belapur) APMC,1590.96,1561.11,1916.67,1.9%,-17.0%
Sillod APMC,1688.37,1552.88,-,8.7%,-
Sillod(Bharadi) APMC,1652.63,1539.09,1957.14,7.4%,-15.6%
Sindi(Selu) APMC,1535.23,1505.86,2030.12,1.9%,-24.4%
Sinner APMC,1761.66,1571.87,2373.54,12.1%,-25.8%
Solapur APMC,2505.73,2531.71,2685.11,-1.0%,-6.7%
Taloda APMC,1600.0,1558.33,2200.0,2.7%,-27.3%
Tasgaon APMC,2254.78,2260.93,2490.86,-0.3%,-9.5%
Telhara APMC,1567.46,1457.47,2058.67,7.5%,-23.9%
Tuljapur APMC,-,-,2617.48,-,-
Tumsar APMC,1688.49,1501.84,2046.89,12.4%,-17.5%
Ulhasnagar APMC,2431.75,3011.61,2798.18,-19.2%,-13.1%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarked(Danki) APMC,1950.0,-,-,-,-
Vaduj APMC,1978.12,1950.45,2200.0,1.4%,-10.1%
Vadvani APMC,1417.0,1362.0,-,4.0%,-
Vaijpur APMC,-,-,2257.12,-,-
Varud(Rajura Bazar) APMC,1537.0,-,-,-,-
Vasai APMC,-,-,2353.38,-,-
Wardha APMC,-,1512.63,2065.83,-,-
Washim APMC,1732.81,1508.83,2023.32,14.8%,-14.4%
Washim(Ansing) APMC,1495.71,1485.37,2014.29,0.7%,-25.8%
Yawal APMC,1734.44,1713.33,1920.0,1.2%,-9.7%
Yeola APMC,1675.6,1498.05,2158.57,11.8%,-22.4%
Yeotmal APMC,1535.07,1500.12,2050.0,2.3%,-25.1%
Average,1696.39,1637.41,2186.97,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

