,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2023",,
Market,"Prices April, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Kalamb (Dharashiv) APMC,2821.35,2749.25,2440.31,2.6%,15.6%
Kalamb APMC,-,-,1928.57,-,-
Kalmeshwar APMC,-,-,1839.03,-,-
Kalvan APMC,2293.64,2240.14,2121.57,2.4%,8.1%
Kannad APMC,2760.16,2267.79,2233.14,21.7%,23.6%
Karanja APMC,2130.93,2053.08,2153.41,3.8%,-1.0%
Karjat(Raigad) APMC,2339.96,2327.54,2175.0,0.5%,7.6%
Karmala APMC,2478.38,2279.94,2253.05,8.7%,10.0%
Katol APMC,2129.41,2108.5,2007.06,1.0%,6.1%
Khamgaon APMC,1976.82,1968.33,2063.4,0.4%,-4.2%
Kille Dharur APMC,2821.39,2697.44,2360.35,4.6%,19.5%
Kopargaon APMC,2205.85,2186.75,2229.71,0.9%,-1.1%
Kurdwadi APMC,3000.0,2451.0,-,22.4%,-
Kurdwadi(Modnimb) APMC,2663.64,2391.67,2293.75,11.4%,16.1%
Lakhandur APMC,2000.0,-,1911.59,-,4.6%
Lasalgaon APMC,2392.08,2306.55,2281.83,3.7%,4.8%
Lasalgaon(Niphad) APMC,2300.54,2192.02,2190.69,5.0%,5.0%
Lasalgaon(Vinchur) APMC,2246.81,2267.56,-,-0.9%,-
Lasur Station APMC,2286.49,2333.08,2160.4,-2.0%,5.8%
Latur(Murud) APMC,-,2545.0,-,-,-
Loha APMC,2938.5,2635.63,2204.37,11.5%,33.3%
Lonar APMC,-,-,2132.23,-,-
Majalgaon APMC,2982.61,2500.22,2486.54,19.3%,19.9%
Malegaon APMC,2309.12,2209.91,2219.2,4.5%,4.0%
Malkapur APMC,2389.03,2335.67,2145.44,2.3%,11.3%
Mandhal APMC,2475.0,2641.67,4235.67,-6.3%,-41.6%
Mangal Wedha APMC,2762.42,2733.33,2585.45,1.1%,6.8%
Mangrulpeer APMC,2218.73,2169.79,2123.52,2.3%,4.5%
Manmad APMC,2207.78,2205.1,2091.43,0.1%,5.6%
Manora APMC,2182.02,2015.08,2101.9,8.3%,3.8%
Mantha APMC,-,2166.67,2137.88,-,-
Manwat APMC,2366.43,2282.06,2365.0,3.7%,0.1%
Mauda APMC,1968.29,1960.0,1897.69,0.4%,3.7%
Mehekar APMC,2288.52,2170.94,2548.41,5.4%,-10.2%
Mohol APMC,2750.0,2550.0,2100.0,7.8%,30.9%
Morshi APMC,2164.88,2051.09,2052.92,5.5%,5.5%
Mudkhed APMC,-,2283.33,-,-,-
Mumbai APMC,3800.0,4016.44,2714.74,-5.4%,40.0%
Murtizapur APMC,2278.61,2163.97,2168.22,5.3%,5.1%
Murum APMC,2663.88,2550.97,2096.25,4.4%,27.1%
Nagpur APMC,2559.82,2656.5,2371.32,-3.6%,8.0%
Nampur APMC,-,2225.0,-,-,-
Nanded APMC,2507.17,2404.51,2215.71,4.3%,13.2%
Nandgaon APMC,2573.9,2477.02,2419.91,3.9%,6.4%
Nandgaon Khandeshwar APMC,-,2095.0,-,-,-
Nandura APMC,2632.99,2436.47,2576.17,8.1%,2.2%
Nandurbar APMC,2228.4,2145.89,2187.74,3.9%,1.9%
Navapur APMC,2086.72,2119.91,1875.0,-1.6%,11.3%
Newasa APMC,2251.32,2105.77,2250.0,6.9%,0.1%
Nira(Saswad) APMC,3050.0,2898.61,2374.24,5.2%,28.5%
Pachora APMC,2211.49,2238.21,-,-1.2%,-
Paithan APMC,2360.61,2327.3,2239.94,1.4%,5.4%
Palghar APMC,3183.92,3150.66,2710.61,1.1%,17.5%
Parali Vaijyanath APMC,2000.0,1800.0,-,11.1%,-
Paranda APMC,2541.67,2318.75,2322.31,9.6%,9.4%
Parbhani APMC,2801.85,2767.11,2197.61,1.3%,27.5%
Parola APMC,2346.59,2232.86,-,5.1%,-
Partur APMC,2551.41,2251.53,2296.16,13.3%,11.1%
Pathardi APMC,2000.0,2066.67,1936.84,-3.2%,3.3%
Pathari APMC,2363.31,2144.33,2231.18,10.2%,5.9%
Patur APMC,1946.09,1943.03,1941.1,0.2%,0.3%
Phaltan APMC,2559.09,2604.41,2400.0,-1.7%,6.6%
Pulgaon APMC,2188.92,201.37,2141.67,987.0%,2.2%
Pune APMC,4095.84,4515.78,4075.22,-9.3%,0.5%
Purna APMC,-,2201.0,2600.0,-,-
Pusad APMC,-,2210.87,-,-,-
Rahata APMC,2184.75,2184.55,2158.25,-,1.2%
Rahuri APMC,2041.7,2055.88,2282.61,-0.7%,-10.6%
Rahuri(Vambori) APMC,2095.46,2102.28,2278.18,-0.3%,-8.0%
Ramtek APMC,2058.26,2019.85,1999.08,1.9%,3.0%
Raver APMC,2054.43,2034.1,2134.44,1.0%,-3.8%
Sakri APMC,2350.0,2291.51,-,2.5%,-
Sangamner APMC,2232.86,2308.5,2231.08,-3.3%,0.1%
Sangli APMC,3210.47,3052.82,3059.84,5.2%,4.9%
Satana APMC,2390.76,2296.16,2233.58,4.1%,7.0%
Savner APMC,2323.48,2195.43,2009.62,5.8%,15.6%
Selu APMC,2250.0,2290.81,2196.25,-1.8%,2.5%
Shahada APMC,2205.42,2170.99,2184.64,1.6%,0.9%
Shegaon APMC,2386.67,2000.5,2224.49,19.3%,7.3%
Shevgaon APMC,2258.2,2205.6,2318.73,2.4%,-2.6%
Shevgaon(Bodhegaon) APMC,2256.25,2120.59,2258.06,6.4%,-0.1%
Shirpur APMC,2229.71,2119.72,2210.0,5.2%,0.9%
Shirur APMC,2390.0,2379.42,2170.0,0.4%,10.1%
Shrigonda APMC,2276.61,2215.94,2287.1,2.7%,-0.5%
Shrigonda(Gogargaon) APMC,2294.44,2220.0,2223.08,3.4%,3.2%
Shrirampur APMC,2213.54,2065.21,2125.0,7.2%,4.2%
Shrirampur(Belapur) APMC,2025.29,2001.13,1850.0,1.2%,9.5%
Sillod APMC,2348.78,2163.11,2106.39,8.6%,11.5%
Sillod(Bharadi) APMC,2090.62,2087.72,2103.41,0.1%,-0.6%
Sindi APMC,-,2009.09,1961.2,-,-
Sindi(Selu) APMC,2390.37,2111.11,2099.09,13.2%,13.9%
Sinner APMC,2216.9,2267.82,2282.22,-2.2%,-2.9%
Solapur APMC,2652.42,2734.86,2756.86,-3.0%,-3.8%
Sonpeth APMC,2581.32,2446.88,2555.5,5.5%,1.0%
Tadkalas APMC,-,-,1803.06,-,-
Taloda APMC,2234.73,2249.5,2290.37,-0.7%,-2.4%
Tasgaon APMC,2463.81,2510.42,2107.07,-1.9%,16.9%
Telhara APMC,-,2078.44,-,-,-
Tuljapur APMC,2786.54,2478.9,2425.0,12.4%,14.9%
Tumsar APMC,2257.28,2158.68,2016.66,4.6%,11.9%
Ulhasnagar APMC,3200.2,2982.13,2666.79,7.3%,20.0%
Umared APMC,2457.97,2662.5,2000.0,-7.7%,22.9%
Umarga APMC,2541.83,2285.0,2200.0,11.2%,15.5%
Umari APMC,-,2300.0,-,-,-
