Market,"Prices September, 2025 (Rs./Quintal)","Prices August, 2025 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Nira(Saswad) APMC,2614.045399999998,2629.1546451612903,2896.61,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2604.68,2624.66,2687.27,-0.8%,-3.1%
Pachora APMC,2380.23,2420.48,2583.2,-1.7%,-7.9%
Paithan APMC,2610.36,2638.72,2823.75,-1.1%,-7.6%
Palam APMC,2841.3008999999975,2877.73,2647.0096794871797,-,-
Palghar APMC,3245.66,3327.85,3234.82,-2.5%,0.3%
Parali Vaijyanath APMC,2449.41,2375.0,2647.0096794871797,3.1%,-
Paranda APMC,2422.73,2592.56,2577.78,-6.5%,-6.0%
Parbhani APMC,2650.0,2600.0,2348.19,1.9%,12.8%
Parola APMC,2482.23,2629.1546451612903,2634.82,-,-5.8%
Partur APMC,2520.98,2550.22,2592.75,-1.1%,-2.8%
Pathardi APMC,2843.15,2855.41,2648.48,-0.4%,7.3%
Pathari APMC,2549.796816666669,2629.1546451612903,2625.64,-,-
Patur APMC,2533.07,2476.08,2472.62,2.3%,2.4%
Phaltan APMC,2652.4,2704.69,2700.0,-1.9%,-1.8%
Pune APMC,4768.2,4759.87,2647.0096794871797,0.2%,-
Purna APMC,2636.2716000000028,2629.1546451612903,2200.0,-,-
Pusad APMC,2698.65,2629.1546451612903,2647.0096794871797,-,-
Rahata APMC,2604.22,2666.26,2770.72,-2.3%,-6.0%
Rahuri APMC,2632.4,2605.62,2594.2,1.0%,1.5%
Rahuri(Vambori) APMC,2532.67,2574.13,2627.95,-1.6%,-3.6%
Ramtek APMC,2593.4961333333367,2629.1546451612903,2488.04,-,-
Raver APMC,2578.9,2563.81,2646.38,0.6%,-2.5%
Sakri APMC,2699.6,2629.1546451612903,2639.59,-,2.3%
Sangamner APMC,2610.7667999999994,2629.1546451612903,2806.43,-,-
Sangli APMC,4199.18,4000.0,3517.94,5.0%,19.4%
Sangrampur(Varvatbakal) APMC,2412.5,2629.1546451612903,2647.0096794871797,-,-
Satana APMC,2753.67,2637.62,2789.9,4.4%,-1.3%
Savner APMC,2560.66,2615.64,2481.42,-2.1%,3.2%
Selu APMC,2570.1008333333316,2629.1546451612903,2601.06,-,-
Shahada APMC,2650.33,2668.07,2715.38,-0.7%,-2.4%
Shegaon APMC,2427.4,2361.69,2426.23,2.8%,0.1%
Shevgaon APMC,2642.7,2549.07,2869.08,3.7%,-7.9%
Shevgaon(Bodhegaon) APMC,2541.51,2592.82,2504.66,-2.0%,1.5%
Shirpur APMC,2592.08,2620.09,2676.9,-1.1%,-3.2%
Shirur APMC,2656.92,2640.57,2538.46,0.6%,4.7%
Shrigonda APMC,2700.0,2700.0,2498.18,-,8.1%
Shrirampur APMC,2526.34,2591.96,2571.88,-2.5%,-1.8%
Shrirampur(Belapur) APMC,2400.0,2400.0,2354.87,-,1.9%
Sillod APMC,2592.83,2556.2,2611.57,1.4%,-0.7%
Sillod(Bharadi) APMC,2559.5,2595.83,2545.0,-1.4%,0.6%
Sindi(Selu) APMC,2547.67,2581.96,2428.14,-1.3%,4.9%
Sindkhed Raja APMC,2100.0,2100.0,2647.0096794871797,-,-
Sinner APMC,2752.61,2731.88,2896.84,0.8%,-5.0%
Solapur APMC,3324.75,3374.05,3247.82,-1.5%,2.4%
Sonpeth APMC,2640.241900000002,2629.1546451612903,2402.0,-,-
Tadkalas APMC,2386.31,2301.0,2392.48,3.7%,-0.3%
Tasgaon APMC,3041.7,3112.14,3100.97,-2.3%,-1.9%
Telhara APMC,2634.24,2580.77,2662.81,2.1%,-1.1%
Tuljapur APMC,2488.66,2588.46,2647.0096794871797,-3.9%,-
Tumsar APMC,2547.06,2556.04,2483.1,-0.3%,2.6%
Ulhasnagar APMC,3377.53,3347.33,3213.44,0.9%,5.1%
Umared APMC,2517.53,2582.64,2500.0,-2.5%,0.7%
Umarga APMC,2424.94,2354.6,2577.33,3.0%,-5.9%
Umarked(Danki) APMC,2593.3845333333365,2629.1546451612903,2500.0,-,-
Umarkhed APMC,2593.3845333333365,2629.1546451612903,2500.0,-,-
Vaduj APMC,2860.0,2814.71,2500.0,1.6%,14.4%
Vadvani APMC,2646.91,2569.03,3100.0,3.0%,-14.6%
Vaijpur APMC,2590.2979999999966,2728.92,2647.0096794871797,-,-
Varud(Rajura Bazar) APMC,2478.18,2493.21,2630.0,-0.6%,-5.8%
Vasai APMC,2615.5468999999985,2629.1546451612903,3501.42,-,-
Wardha APMC,2635.31,2645.86,2655.82,-0.4%,-0.8%
Washim APMC,2490.89,2528.72,2491.84,-1.5%,-0.0%
Washim(Ansing) APMC,2529.93,2510.6,2486.79,0.8%,1.7%
Yawal APMC,2550.0,2550.0,2730.0,-,-6.6%
Yeola APMC,2611.43,2645.7,2778.77,-1.3%,-6.0%
Yeotmal APMC,2606.62,2624.28,2631.66,-0.7%,-0.9%
Average,2616.05,2629.15,2647.01,-,-
Note:,2459.3172434523817,2629.1546451612903,2647.0096794871797,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2459.3172434523817,2629.1546451612903,2647.0096794871797,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2459.3172434523817,2629.1546451612903,2647.0096794871797,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2459.3172434523817,2629.1546451612903,2647.0096794871797,,
