,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2021",,
Mumbai APMC,3322.79,3303.76,3132.54,0.6%,6.1%
Murtizapur APMC,1824.24,1651.56,1685.0,10.5%,8.3%
Murum APMC,1969.32,1836.38,-,7.2%,-
Nagpur APMC,2274.26,2260.1,2455.21,0.6%,-7.4%
Nampur APMC,1553.0,1614.5,-,-3.8%,-
Nanded APMC,3782.43,1703.6,-,122.0%,-
Nandgaon APMC,2107.14,1793.17,-,17.5%,-
Nandgaon Khandeshwar APMC,1637.93,1560.7,-,5.0%,-
Nandura APMC,2003.21,1884.88,1867.86,6.3%,7.2%
Nandurbar APMC,1727.86,1654.76,1852.0,4.4%,-6.7%
Navapur APMC,-,-,1720.18,-,-
Newasa APMC,2084.62,2053.57,-,1.5%,-
Nilanga APMC,-,1900.0,-,-,-
Nira(Saswad) APMC,2213.57,-,-,-,-
Pachora APMC,1579.84,1554.06,1811.23,1.7%,-12.8%
Paithan APMC,1748.57,1683.06,1912.25,3.9%,-8.6%
Palghar APMC,2484.14,2616.2,2560.0,-5.0%,-3.0%
Pandharpur APMC,1880.0,1673.0,-,12.4%,-
Paranda APMC,1838.57,1905.0,-,-3.5%,-
Parbhani APMC,1828.57,1783.33,-,2.5%,-
Parola APMC,-,1643.1,-,-,-
Partur APMC,1707.81,1711.71,-,-0.2%,-
Pathardi APMC,2017.65,2033.33,-,-0.8%,-
Pathari APMC,1586.72,1633.15,-,-2.8%,-
Patur APMC,1548.9,1555.17,-,-0.4%,-
Pulgaon APMC,1580.38,1616.79,-,-2.2%,-
Pune APMC,4396.61,4255.33,3983.33,3.3%,10.4%
Purna APMC,1663.12,1728.57,1800.0,-3.8%,-7.6%
Rahata APMC,1716.22,1694.26,1700.81,1.3%,0.9%
Rahuri APMC,1660.86,1668.33,1738.62,-0.5%,-4.5%
Rahuri(Vambori) APMC,1602.5,1578.87,-,1.5%,-
Ramtek APMC,1629.4,1654.57,1723.24,-1.5%,-5.5%
Raver APMC,1764.19,1728.34,-,2.1%,-
Sakri APMC,-,-,1746.92,-,-
Sangamner APMC,1749.73,1729.66,-,1.2%,-
Sangli APMC,2532.79,2494.63,-,1.5%,-
Sangrampur APMC,-,-,1800.0,-,-
Sangrampur(Varvatbakal) APMC,1845.45,1781.82,1950.0,3.6%,-5.4%
Satana APMC,1928.47,1775.06,-,8.6%,-
Savner APMC,1697.41,-,1600.0,-,6.1%
Selu APMC,1683.33,1671.0,1885.0,0.7%,-10.7%
Sengoan APMC,-,1700.0,-,-,-
Shahada APMC,1768.95,1725.9,-,2.5%,-
Shegaon APMC,2043.83,2532.43,1650.0,-19.3%,23.9%
Shevgaon APMC,1827.5,1783.43,1903.23,2.5%,-4.0%
Shevgaon(Bodhegaon) APMC,1877.61,1739.73,1600.0,7.9%,17.4%
Shirpur APMC,1677.88,1650.15,-,1.7%,-
Shirur APMC,1696.15,1670.54,-,1.5%,-
Shrigonda APMC,2000.0,1998.78,-,0.1%,-
Shrigonda(Gogargaon) APMC,1998.95,1990.0,-,0.5%,-
Shrirampur APMC,1658.21,1637.98,1847.39,1.2%,-10.2%
Shrirampur(Belapur) APMC,1655.15,1643.18,-,0.7%,-
Sillod APMC,1664.48,1650.0,1775.94,0.9%,-6.3%
Sillod(Bharadi) APMC,1668.37,1650.0,1740.0,1.1%,-4.1%
Sindi APMC,1673.5,1785.71,-,-6.3%,-
Sindi(Selu) APMC,1675.28,1653.06,-,1.3%,-
Sinner APMC,-,1761.23,1958.05,-,-
Solapur APMC,2640.97,2566.12,2693.88,2.9%,-2.0%
Sonpeth APMC,1881.0,-,-,-,-
Tadkalas APMC,-,1766.67,-,-,-
Taloda APMC,1754.09,1738.39,1863.12,0.9%,-5.8%
Tasgaon APMC,2118.96,2224.88,2576.67,-4.8%,-17.8%
Telhara APMC,-,1578.99,-,-,-
Tuljapur APMC,1938.1,1476.0,-,31.3%,-
Tumsar APMC,1623.44,1659.11,1630.0,-2.1%,-0.4%
Ulhasnagar APMC,2555.6,2565.55,-,-0.4%,-
Umared APMC,2100.0,2100.0,2200.0,-,-4.5%
Umarked(Danki) APMC,1912.5,1850.0,-,3.4%,-
Umarkhed APMC,-,1950.0,-,-,-
Vaduj APMC,2013.89,1996.15,2050.0,0.9%,-1.8%
Vadvani APMC,-,-,2000.0,-,-
Vaijpur APMC,1794.49,-,-,-,-
Varora APMC,-,-,1450.0,-,-
Varud(Rajura Bazar) APMC,-,1601.0,-,-,-
Vasai APMC,2830.26,-,2300.0,-,23.1%
Wardha APMC,1700.47,1704.0,-,-0.2%,-
Washim APMC,1645.75,1679.06,1800.0,-2.0%,-8.6%
Washim(Ansing) APMC,1569.74,1585.68,1600.0,-1.0%,-1.9%
Yawal APMC,-,1706.92,1814.53,-,-
Yeola APMC,1637.61,1705.45,-,-4.0%,-
Yeotmal APMC,1663.51,1665.47,-,-0.1%,-
Average,1860.57,1787.58,1916.13,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

