Market,"Arrivals April, 2021 (Metric Tonnes)","Arrivals March, 2021 (Metric Tonnes)","Arrivals April, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Jalana APMC,2744.0,2462.0,66.0,11.4%,4057.6%
Jalgaon APMC,29.0,37.0,23.0,-21.6%,26.1%
Jalgaon Jamod(Aasalgaon) APMC,44.0,28.0,41.436146233525754,57.1%,-
Jalgaon(Masawat) APMC,16.0,106.0,45.0,-84.9%,-64.4%
Jamkhed APMC,42.0,36.0,41.118800296570384,16.7%,-
Jawala-Bajar APMC,-0.38310460568609983,21.0,33.3383833431163,-,-
Jintur APMC,8.0,4.0,34.76310640032301,100.0%,-
Kaij APMC,28.0,78.0,38.81731099054894,-64.1%,-
Kalamb (Dharashiv) APMC,99.0,127.0,51.987560314048054,-22.1%,-
Kalamnuri APMC,-7.362239949351789,13.0,32.02557203787991,-,-
Kalmeshwar APMC,10.0,3.0,35.1204862109453,233.3%,-
Kalvan APMC,14.0,45.0,11.0,-68.9%,27.3%
Kannad APMC,112.0,164.0,54.55931101230879,-31.7%,-
Karanja APMC,5388.0,8720.0,388.0,-38.2%,1288.7%
Karjat(Raigad) APMC,117.0,104.0,55.12391086231483,12.5%,-
Karmala APMC,31.0,33.0,3.0,-6.1%,933.3%
Katol APMC,560.0,373.0,137.08876963424126,50.1%,-
Khamgaon APMC,1108.0,908.0,239.63760971568271,22.0%,-
Kille Dharur APMC,23.0,50.0,37.74942815730164,-54.0%,-
Kopargaon APMC,727.0,718.0,121.0,1.2%,500.8%
Kurdwadi APMC,2.0,2.0,33.66237134440834,-,-
Kurdwadi(Modnimb) APMC,12.0,20.0,35.58081026813967,-40.0%,-
Lakhandur APMC,6.0,2.0,34.38856921527204,200.0%,-
Lasalgaon APMC,463.0,1068.0,104.0,-56.6%,345.2%
Lasalgaon(Niphad) APMC,440.0,273.0,28.0,61.2%,1471.4%
Lasalgaon(Vinchur) APMC,750.0,1132.0,175.92398423072288,-33.8%,-
Lasur Station APMC,579.0,2418.0,7.0,-76.0%,8171.4%
Latur APMC,1820.0,1995.0,375.1175193974128,-8.8%,-
Latur(Murud) APMC,212.0,91.0,72.29676167280346,133.0%,-
Loha APMC,-12.59659145710107,7.0,31.040963558952622,-,-
Lonar APMC,43.23649129222446,71.0,41.543454000843695,-,-
Majalgaon APMC,132.0,110.0,3.0,20.0%,4300.0%
