Market,"Arrivals June, 2022 (Metric Tonnes)","Arrivals May, 2022 (Metric Tonnes)","Arrivals June, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Malegaon(Vashim) APMC,2.362093133661663,41.91620956081116,17.0,-,-
Malkapur APMC,502.0,667.0,594.0,-24.7%,-15.5%
Mandhal APMC,1.0,5.0,1.0,-80.0%,-
Mangal Wedha APMC,6.0,15.0,28.0,-60.0%,-78.6%
Mangrulpeer APMC,99.0,80.0,192.0,23.8%,-48.4%
Manmad APMC,19.0,41.0,41.0,-53.7%,-53.7%
Manora APMC,60.0,77.0,99.0,-22.1%,-39.4%
Mantha APMC,3.167179475241504,17.0,50.0,-,-
Manwat APMC,10.0,19.0,6.0,-47.4%,66.7%
Mauda APMC,-3.0254644579122463,35.0,10.374055425795074,-,-
Mehekar APMC,100.0,115.0,257.0,-13.0%,-61.1%
Mohol APMC,1.0,113.66550507851696,103.2464308890447,-,-
Morshi APMC,318.0,479.0,228.0,-33.6%,39.5%
Mumbai APMC,13544.0,11679.0,12435.0,16.0%,8.9%
Murtizapur APMC,190.0,508.0,172.0,-62.6%,10.5%
Murum APMC,9.0,6.0,6.0,50.0%,50.0%
Nagpur APMC,2594.0,2822.0,2007.0,-8.1%,29.2%
Nampur APMC,-10.260685775382727,26.51546605049436,1.0,-,-
Nanded APMC,4.0,10.0,17.0,-60.0%,-76.5%
Nandgaon APMC,49.0,87.0,90.0,-43.7%,-45.6%
Nandgaon Khandeshwar APMC,30.763345679011536,76.56788245902396,53.0,-,-
Nandura APMC,62.0,48.0,92.0,29.2%,-32.6%
Nandurbar APMC,272.0,756.0,321.0,-64.0%,-15.3%
Newasa APMC,9.0,3.0,2.0,200.0%,350.0%
Nilanga APMC,3.0,115.71933201000141,105.31857518833102,-,-
Nira(Saswad) APMC,27.0,24.0,4.537615776190787,12.5%,-
Pachora APMC,57.0,240.2116482798065,244.0,-,-76.6%
Paithan APMC,69.0,117.0,181.0,-41.0%,-61.9%
Palghar APMC,68.0,46.0,99.0,47.8%,-31.3%
Pandhakawada APMC,-7.893914729936904,29.40310545867876,4.0,-,-
Pandharpur APMC,-30.848987341540166,1.0,-24.827657229184023,-,-
Paranda APMC,1.0,4.0,2.0,-75.0%,-50.0%
Parbhani APMC,76.0,256.0,98.0,-70.3%,-22.4%
Parola APMC,11.0,123.93463973593931,113.60715238547635,-,-
Partur APMC,52.0,49.0,65.0,6.1%,-20.0%
Pathardi APMC,24.0,22.0,19.0,9.1%,26.3%
Pathari APMC,9.0,15.0,29.0,-40.0%,-69.0%
Patur APMC,36.0,51.0,22.0,-29.4%,63.6%
Pavani APMC,2.0,114.69241854425913,104.2825030386878,-,-
Phaltan APMC,65.0,49.0,32.84317276820744,32.6%,-
Pulgaon APMC,17.27439658199168,88.0,1.0,-,-
Pune APMC,1273.0,1052.0,509.0,21.0%,150.1%
Rahata APMC,55.0,60.0,33.0,-8.3%,66.7%
Rahuri APMC,25.0,8.0,33.0,212.5%,-24.2%
Rahuri(Vambori) APMC,10.0,14.0,40.0,-28.6%,-75.0%
Ramtek APMC,123.60081666284213,228.0,123.0,-,-
Raver APMC,78.0,69.0,119.0,13.0%,-34.5%
Sakri APMC,8.0,120.85389933871261,110.49893593654687,-,-
Sangamner APMC,8.0,5.0,16.0,60.0%,-50.0%
Sangli APMC,552.0,664.0,547.0,-16.9%,0.9%
Sangrampur(Varvatbakal) APMC,5.0,39.006545747678274,13.0,-,-61.5%
Satana APMC,40.0,80.0,157.0,-50.0%,-74.5%
Savner APMC,62.0,300.0,70.0,-79.3%,-11.4%
Selu APMC,2.0,4.0,7.0,-50.0%,-71.4%
Shahada APMC,190.0,518.0,283.0,-63.3%,-32.9%
Shegaon APMC,16.0,32.0,30.0,-50.0%,-46.7%
Shevgaon APMC,59.0,118.0,187.0,-50.0%,-68.5%
Shevgaon(Bodhegaon) APMC,8.0,20.0,46.0,-60.0%,-82.6%
Shirpur APMC,418.0,475.0,399.0,-12.0%,4.8%
Shirur APMC,6.0,13.0,15.0,-53.9%,-60.0%
Shrigonda APMC,14.0,30.0,91.0,-53.3%,-84.6%
Shrigonda(Gogargaon) APMC,1.0,7.0,47.0,-85.7%,-97.9%
Shrirampur APMC,22.0,31.0,100.0,-29.0%,-78.0%
Shrirampur(Belapur) APMC,28.0,40.0,1498.0,-30.0%,-98.1%
Sillod APMC,356.0,563.0,267.0,-36.8%,33.3%
Sillod(Bharadi) APMC,14.0,33.0,24.0,-57.6%,-41.7%
Sindi APMC,9.0,31.0,22.0,-71.0%,-59.1%
Sindi(Selu) APMC,165.0,444.0,455.0,-62.8%,-63.7%
Sinner APMC,27.0,8.0,120.0,237.5%,-77.5%
Solapur APMC,2635.0,2795.0,2135.0,-5.7%,23.4%
Sonpeth APMC,-20.76827128773718,2.0,2.0,-,-
Tadkalas APMC,4.0,4.0,-17.085078623249316,-,-
Taloda APMC,-16.215529350484132,13.0,1.0,-,-
Tasgaon APMC,32.0,11.0,51.0,190.9%,-37.2%
Telhara APMC,62.0,85.0,10.0,-27.1%,520.0%
Tuljapur APMC,27.0,37.0,71.0,-27.0%,-62.0%
Tumsar APMC,159.0,352.0,151.0,-54.8%,5.3%
Ulhasnagar APMC,597.0,791.0,627.0,-24.5%,-4.8%
Umared APMC,275.0,83.0,818.0,231.3%,-66.4%
Umarga APMC,1.0,28.34350397499449,1.0,-,-
Umari APMC,6.0,4.0,-16.80892965185115,50.0%,-
Umarked(Danki) APMC,12.0,46.0,12.0,-73.9%,-
Umarkhed APMC,12.0,24.0,2.4664984907045344,-50.0%,-
Vaduj APMC,20.0,15.0,7.0,33.3%,185.7%
Vadvani APMC,3.0,1.0,1.0,200.0%,200.0%
Vaijpur APMC,188.0,104.0,270.0,80.8%,-30.4%
Vani APMC,-4.738220002675806,33.25329133625796,8.0,-,-
Varora APMC,1.0,113.66550507851696,103.2464308890447,-,-
Varud(Rajura Bazar) APMC,2.0,4.0,-17.361227594647485,-50.0%,-
Vasai APMC,345.0,503.0,698.0,-31.4%,-50.6%
Wardha APMC,323.0,838.0,804.0,-61.5%,-59.8%
Washim APMC,682.0,1130.0,821.0,-39.6%,-16.9%
Washim(Ansing) APMC,20.0,16.0,62.0,25.0%,-67.7%
Yawal APMC,3.0,2.0,8.0,50.0%,-62.5%
Yeola APMC,12.0,39.0,55.0,-69.2%,-78.2%
Yeotmal APMC,87.0,303.0,386.0,-71.3%,-77.5%
Total,37676.0,47105.0,48874.0,-,-
Note:,399.8218058114887,526.285218807123,520.126646791948,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,399.8218058114887,526.285218807123,520.126646791948,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,399.8218058114887,526.285218807123,520.126646791948,,
