Market,"Arrivals August, 2022 (Metric Tonnes)","Arrivals July, 2022 (Metric Tonnes)","Arrivals August, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Patur APMC,29.0,46.0,54.0,-37.0%,-46.3%
Phaltan APMC,30.0,45.0,56.23254003744215,-33.3%,-
Pune APMC,1148.0,1310.0,275.0,-12.4%,317.4%
Purna APMC,241.51101832252667,265.0,305.9956242767138,-,-
Rahata APMC,17.0,80.0,33.0,-78.8%,-48.5%
Rahuri APMC,18.0,10.0,13.0,80.0%,38.5%
Rahuri(Vambori) APMC,18.0,13.0,11.0,38.5%,63.6%
Ramtek APMC,102.0,14.0,57.0,628.6%,79.0%
Raver APMC,25.0,28.801711814164296,55.0,-,-54.5%
Sakri APMC,6.0,9.0,12.0,-33.3%,-50.0%
Sangamner APMC,2.168231729356954,2.0,11.0,-,-
Sangli APMC,543.0,539.0,513.0,0.7%,5.8%
Sangrampur(Varvatbakal) APMC,5.059406452343657,5.0,4.0,-,-
Satana APMC,19.0,28.0,88.0,-32.1%,-78.4%
Savner APMC,25.0,20.0,37.0,25.0%,-32.4%
Selu APMC,2.0,6.0,24.0,-66.7%,-91.7%
Shahada APMC,26.0,54.0,68.0,-51.9%,-61.8%
Shegaon APMC,11.0,8.0,35.0,37.5%,-68.6%
Shevgaon APMC,41.0,84.0,139.0,-51.2%,-70.5%
Shevgaon(Bodhegaon) APMC,8.0,4.0,14.0,100.0%,-42.9%
Shirpur APMC,140.0,136.0,186.0,2.9%,-24.7%
Shirur APMC,5.0,9.0,23.0,-44.4%,-78.3%
Shrigonda APMC,10.0,13.0,57.0,-23.1%,-82.5%
Shrigonda(Gogargaon) APMC,143.75542924881913,154.80960883048067,20.0,-,-
Shrirampur APMC,6.0,12.0,22.0,-50.0%,-72.7%
Shrirampur(Belapur) APMC,9.0,28.0,1.0,-67.9%,800.0%
Sillod APMC,427.0,412.0,507.0,3.6%,-15.8%
Sillod(Bharadi) APMC,19.0,21.0,75.0,-9.5%,-74.7%
Sindi(Selu) APMC,46.0,217.0,184.0,-78.8%,-75.0%
Sinner APMC,12.0,21.0,39.0,-42.9%,-69.2%
Solapur APMC,3217.0,2943.0,2168.0,9.3%,48.4%
Sonpeth APMC,1.0,1.0,3.0,-,-66.7%
Tadkalas APMC,4.0,4.0,7.0,-,-42.9%
Tasgaon APMC,35.0,32.0,42.0,9.4%,-16.7%
Telhara APMC,41.0,56.0,19.0,-26.8%,115.8%
Tuljapur APMC,15.0,35.0,15.0,-57.1%,-
Tumsar APMC,31.0,69.0,165.0,-55.1%,-81.2%
Ulhasnagar APMC,918.0,1067.0,756.0,-14.0%,21.4%
Umared APMC,58.0,164.0,131.0,-64.6%,-55.7%
Umarga APMC,2.0,1.0,3.0,100.0%,-33.3%
Umarked(Danki) APMC,15.0,20.68907077680805,68.0,-,-77.9%
Umarkhed APMC,145.67621133309484,156.9475926973506,24.0,-,-
Vaduj APMC,18.0,16.0,10.0,12.5%,80.0%
Vaijpur APMC,137.0,144.0,141.0,-4.9%,-2.8%
Vani APMC,1.0,-0.14938411124621265,3.4116356873610214,-,-
Varora APMC,3.0,1.0,4.619449082731808,200.0%,-
Varud(Rajura Bazar) APMC,135.5921053906473,145.72317739628355,3.0,-,-
Vasai APMC,309.0,340.0,174.0,-9.1%,77.6%
Wardha APMC,43.0,139.0,171.34374835245455,-69.1%,-
Washim APMC,695.0,446.0,704.0,55.8%,-1.3%
Washim(Ansing) APMC,9.0,8.0,18.0,12.5%,-50.0%
Yawal APMC,6.0,3.0,18.0,100.0%,-66.7%
Yeola APMC,16.0,6.0,23.0,166.7%,-30.4%
Yeotmal APMC,81.0,131.0,278.0,-38.2%,-70.9%
Total,30111.0,33280.0,38884.0,-,-
Note:,353.9063638169059,388.5434651989131,446.83558262484814,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,353.9063638169059,388.5434651989131,446.83558262484814,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,353.9063638169059,388.5434651989131,446.83558262484814,,
