Market,"Prices August, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Pathardi APMC,2150.0,2172.73,2015.38,-1.1%,6.7%
Pathari APMC,2385.7,2155.0,2314.57,10.7%,3.1%
Patur APMC,2395.38,2164.97,2205.28,10.6%,8.6%
Phaltan APMC,2600.0,2518.07,2445.0,3.2%,6.3%
Pune APMC,4873.87,4508.45,4471.49,8.1%,9.0%
Purna APMC,2001.0,2100.0,1988.2614164499714,-4.7%,-
Pusad APMC,2636.49,2571.76,2461.023837176608,2.5%,-
Rahata APMC,2534.12,2315.17,2316.47,9.5%,9.4%
Rahuri APMC,2295.71,2185.0,2213.89,5.1%,3.7%
Rahuri(Vambori) APMC,2336.77,2263.19,2354.44,3.2%,-0.8%
Ramtek APMC,2419.0,2277.97,2284.61,6.2%,5.9%
Raver APMC,2424.04,2170.46,2269.36,11.7%,6.8%
Raver(Sauda) APMC,2535.0,2446.290811492171,2385.204540001201,-,-
Sakri APMC,2318.75,2345.45,2066.67,-1.1%,12.2%
Sangamner APMC,2550.0,2460.46005827235,2396.382759651997,-,-
Sangli APMC,3404.77,3267.94,3045.07,4.2%,11.8%
Satana APMC,2452.76,2354.92,2270.95,4.2%,8.0%
Savner APMC,2349.15,2215.86,2174.52,6.0%,8.0%
Selu APMC,2427.2405810121695,2344.5140884215325,2300.0,-,-
Shahada APMC,2562.3,2344.67,2316.35,9.3%,10.6%
Shegaon APMC,2328.57,2325.0,2254.55,0.1%,3.3%
Shekari Krushi Khajgi Bazar APMC,365.95527467577773,0.0,766.2839916538265,-,-
Shevgaon APMC,2355.24,2284.06,2442.68,3.1%,-3.6%
Shevgaon(Bodhegaon) APMC,2441.46,2293.06,2381.25,6.5%,2.5%
Shirpur APMC,2410.72,2276.24,2350.78,5.9%,2.5%
Shirur APMC,2400.0,2520.0,2160.0,-4.8%,11.1%
Shree Salasar Krushi Bazar  APMC,2000.0,2000.0,1986.8888646270623,-,-
Shrigonda APMC,2330.0,2295.45,2260.0,1.5%,3.1%
Shrigonda(Gogargaon) APMC,2392.121788234864,2300.0,2278.657876479835,-,-
Shrirampur APMC,2286.0,2211.11,2108.33,3.4%,8.4%
Shrirampur(Belapur) APMC,2183.33,2134.48,2033.33,2.3%,7.4%
Sillod APMC,2408.33,2304.4,2345.32,4.5%,2.7%
