,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - June, 2023",,
Market,"Prices June, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Rahata APMC,2282.71,2211.84,2097.45,3.2%,8.8%
Rahuri APMC,2090.24,-,2175.0,-,-3.9%
Rahuri(Vambori) APMC,2224.63,2186.0,2074.1,1.8%,7.3%
Ramtek APMC,2270.77,2195.0,-,3.5%,-
Raver APMC,2215.8,2058.82,2067.88,7.6%,7.2%
Raver(Sauda) APMC,-,2185.0,-,-,-
Sakri APMC,2350.0,2213.56,2007.5,6.2%,17.1%
Sangamner APMC,2355.8,2336.86,2327.0,0.8%,1.2%
Sangli APMC,3211.32,3110.91,3074.82,3.2%,4.4%
Sangrampur(Varvatbakal) APMC,-,-,1900.0,-,-
Satana APMC,2323.58,2280.56,2150.62,1.9%,8.0%
Savner APMC,2291.67,2285.48,1896.53,0.3%,20.8%
Selu APMC,-,2160.0,2000.0,-,-
Shahada APMC,2370.13,2269.06,2174.78,4.5%,9.0%
Shegaon APMC,2366.67,2400.0,2146.88,-1.4%,10.2%
Shevgaon APMC,2141.14,2287.69,2255.25,-6.4%,-5.1%
Shevgaon(Bodhegaon) APMC,2279.41,2255.17,2162.5,1.1%,5.4%
Shirpur APMC,2297.58,2327.23,2124.17,-1.3%,8.2%
Shirur APMC,2135.17,2306.82,1733.33,-7.4%,23.2%
Shrigonda APMC,2250.0,2295.65,2121.43,-2.0%,6.1%
Shrigonda(Gogargaon) APMC,-,2258.33,2000.0,-,-
Shrirampur APMC,2211.63,2186.4,2015.18,1.1%,9.8%
Shrirampur(Belapur) APMC,1965.12,2051.61,1864.29,-4.2%,5.4%
Sillod APMC,2238.58,2226.88,2054.12,0.5%,9.0%
Sillod(Bharadi) APMC,2193.75,2116.67,2039.29,3.6%,7.6%
Sindi APMC,-,-,1877.78,-,-
Sindi(Selu) APMC,2280.92,2339.63,1986.91,-2.5%,14.8%
Sinner APMC,2359.44,-,2153.33,-,9.6%
Solapur APMC,2715.19,2624.64,2640.31,3.5%,2.8%
Sonpeth APMC,2469.67,2175.0,-,13.6%,-
Tadkalas APMC,2075.0,2350.0,1750.0,-11.7%,18.6%
Taloda APMC,2221.0,2138.75,-,3.9%,-
Tasgaon APMC,2611.43,2690.38,2192.19,-2.9%,19.1%
Telhara APMC,2209.69,2407.97,1970.97,-8.2%,12.1%
Tuljapur APMC,2913.33,2952.08,2344.44,-1.3%,24.3%
Tumsar APMC,2187.85,2157.34,1978.19,1.4%,10.6%
Ulhasnagar APMC,3344.15,3257.82,2783.67,2.6%,20.1%
Umared APMC,2408.33,2373.12,2100.0,1.5%,14.7%
Umarga APMC,2100.0,2193.75,2800.0,-4.3%,-25.0%
Umari APMC,-,-,2275.0,-,-
Umarked(Danki) APMC,2100.0,2266.67,2100.0,-7.3%,-
Umarkhed APMC,2100.0,2300.0,2100.0,-8.7%,-
Vaduj APMC,2335.71,2275.0,2187.5,2.7%,6.8%
Vadvani APMC,-,-,2193.67,-,-
Vaijpur APMC,2318.07,2313.47,2100.0,0.2%,10.4%
Varora APMC,2200.0,2000.0,1850.0,10.0%,18.9%
Varud(Rajura Bazar) APMC,2246.5,1974.0,1934.0,13.8%,16.2%
Vasai APMC,3481.26,3499.96,3497.57,-0.5%,-0.5%
Vitthal Krushi Utpanna Bazar  APMC,-,2133.32,-,-,-
Wardha APMC,2289.04,2282.33,2063.41,0.3%,10.9%
Washim APMC,2134.86,2030.56,1939.22,5.1%,10.1%
Washim(Ansing) APMC,2187.14,2117.65,1905.0,3.3%,14.8%
Yawal APMC,2649.17,2655.62,2465.0,-0.2%,7.5%
Yeola APMC,2191.62,2114.65,2090.17,3.6%,4.8%
Yeotmal APMC,2244.43,2144.53,2046.2,4.7%,9.7%
Average,2385.25,2364.52,2155.6,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

