Market,"Arrivals June, 2023 (Metric Tonnes)","Arrivals May, 2023 (Metric Tonnes)","Arrivals June, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Lasalgaon APMC,362.0,519.0,172.0,-30.2%,110.5%
Lasalgaon(Niphad) APMC,179.0,281.0,81.0,-36.3%,121.0%
Lasalgaon(Vinchur) APMC,74.0,509.0,43.0,-85.5%,72.1%
Lasur Station APMC,320.0,488.0,343.0,-34.4%,-6.7%
Latur APMC,617.294669691966,734.3866364409381,465.0,-,-
Loha APMC,37.0,12.0,4.0,208.3%,825.0%
Lonar APMC,205.0,252.02392642280395,141.0,-,45.4%
Majalgaon APMC,82.0,86.0,24.0,-4.7%,241.7%
Malegaon APMC,171.0,199.0,118.0,-14.1%,44.9%
Malegaon(Vashim) APMC,26.060031907170575,3.0,29.32915967469916,-,-
Malkapur APMC,834.0,917.0,502.0,-9.1%,66.1%
Mandhal APMC,2.155613059914576,22.31842698486466,1.0,-,-
Mangal Wedha APMC,16.0,16.0,6.0,-,166.7%
Mangrulpeer APMC,357.0,295.0,99.0,21.0%,260.6%
Manmad APMC,34.0,48.0,19.0,-29.2%,79.0%
Manora APMC,78.0,84.0,60.0,-7.1%,30.0%
Mantha APMC,23.0,12.0,14.560318519181976,91.7%,-
Manwat APMC,9.0,13.0,10.0,-30.8%,-10.0%
Mauda APMC,29.244563757517994,7.0,31.66251198097531,-,-
Mehekar APMC,97.0,206.0,100.0,-52.9%,-3.0%
Mohol APMC,2.155613059914576,22.31842698486466,1.0,-,-
Morshi APMC,171.0,284.0,318.0,-39.8%,-46.2%
Mudkhed APMC,24.467765981996884,1.0,28.162483521561104,-,-
Mumbai APMC,18166.0,16298.0,13544.0,11.5%,34.1%
Murtizapur APMC,320.0,462.0,190.0,-30.7%,68.4%
Murum APMC,23.0,34.0,9.0,-32.4%,155.6%
Nagpur APMC,1547.0,2637.0,2594.0,-41.3%,-40.4%
Nanded APMC,55.0,38.0,4.0,44.7%,1275.0%
Nandgaon APMC,62.0,99.0,49.0,-37.4%,26.5%
Nandgaon Khandeshwar APMC,11.0,33.040151206227506,8.070041505093984,-,-
Nandura APMC,119.0,69.0,62.0,72.5%,91.9%
Nandurbar APMC,312.0,650.0,272.0,-52.0%,14.7%
Navapur APMC,47.0,74.67691254997706,35.129024467208865,-,-
Newasa APMC,10.0,19.0,9.0,-47.4%,11.1%
Nilanga APMC,4.8070745109147985,25.38768650838222,3.0,-,-
Nira(Saswad) APMC,19.0,37.0,27.0,-48.6%,-29.6%
Pachora APMC,57.0,6.0,57.0,850.0%,-
Paithan APMC,187.0,276.0,69.0,-32.2%,171.0%
Palghar APMC,100.0,136.0,68.0,-26.5%,47.1%
Pandharpur APMC,4.0,24.944114278276196,2.8085725957938665,-,-
Parali Vaijyanath APMC,24.467765981996884,1.0,28.162483521561104,-,-
Paranda APMC,3.0,4.0,1.0,-25.0%,200.0%
Parbhani APMC,77.0,108.0,76.0,-28.7%,1.3%
Parola APMC,34.0,52.0,11.0,-34.6%,209.1%
Partur APMC,36.0,32.0,52.0,12.5%,-30.8%
Pathardi APMC,19.0,21.0,24.0,-9.5%,-20.8%
Pathari APMC,23.0,27.0,9.0,-14.8%,155.6%
Patur APMC,60.0,60.0,36.0,-,66.7%
Pavani APMC,3.481343785414687,23.85305674662344,2.0,-,-
Phaltan APMC,90.0,81.0,65.0,11.1%,38.5%
Pulgaon APMC,29.0,33.0,20.088632674675463,-12.1%,-
Pune APMC,1092.0,1476.0,1273.0,-26.0%,-14.2%
Purna APMC,24.467765981996884,1.0,28.162483521561104,-,-
Pusad APMC,135.0,176.45566250136488,101.27320504126747,-,-
Rahata APMC,102.0,158.0,55.0,-35.4%,85.5%
Rahuri APMC,105.0,119.11834550105796,25.0,-,320.0%
Rahuri(Vambori) APMC,46.0,56.0,10.0,-17.9%,360.0%
Ramtek APMC,134.0,224.0,104.04924665931668,-40.2%,-
Raver APMC,46.0,57.0,78.0,-19.3%,-41.0%
Raver(Sauda) APMC,26.856164869757425,4.0,29.912497751268194,-,-
Sakri APMC,4.0,25.0,8.0,-84.0%,-50.0%
Sangamner APMC,5.0,7.0,8.0,-28.6%,-37.5%
Sangli APMC,1092.0,871.0,552.0,25.4%,97.8%
Sangrampur(Varvatbakal) APMC,7.458535961915018,28.45694603189978,5.0,-,-
Satana APMC,134.0,129.0,40.0,3.9%,235.0%
Savner APMC,88.0,136.0,62.0,-35.3%,41.9%
Selu APMC,-0.18282669899703086,7.0,2.0,-,-
Shahada APMC,181.0,424.0,190.0,-57.3%,-4.7%
Shegaon APMC,30.0,55.0,16.0,-45.5%,87.5%
Shevgaon APMC,158.0,199.0,59.0,-20.6%,167.8%
Shevgaon(Bodhegaon) APMC,34.0,29.0,8.0,17.2%,325.0%
Shirpur APMC,290.0,538.0,418.0,-46.1%,-30.6%
Shirur APMC,6.0,11.0,6.0,-45.5%,-
Shrigonda APMC,12.0,46.0,14.0,-73.9%,-14.3%
Shrigonda(Gogargaon) APMC,-1.392318891477482,6.0,1.0,-,-
Shrirampur APMC,43.0,57.0,22.0,-24.6%,95.5%
Shrirampur(Belapur) APMC,43.0,62.0,28.0,-30.6%,53.6%
Sillod APMC,232.0,292.0,356.0,-20.6%,-34.8%
Sillod(Bharadi) APMC,4.0,3.0,14.0,33.3%,-71.4%
Sindi APMC,12.761458863915461,34.59546507893489,9.0,-,-
Sindi(Selu) APMC,173.0,228.0,165.0,-24.1%,4.8%
Sinner APMC,9.0,39.40905200739953,27.0,-,-66.7%
Solapur APMC,4779.0,5052.0,2635.0,-5.4%,81.4%
Sonpeth APMC,3.0,6.0,0.7684831895521289,-50.0%,-
Tadkalas APMC,4.0,3.0,4.0,33.3%,-
Taloda APMC,6.0,16.0,3.4964224663456287,-62.5%,-
Tasgaon APMC,35.0,26.0,32.0,34.6%,9.4%
Telhara APMC,65.0,158.0,62.0,-58.9%,4.8%
Tuljapur APMC,90.0,72.0,27.0,25.0%,233.3%
Tumsar APMC,93.0,137.0,159.0,-32.1%,-41.5%
Ulhasnagar APMC,1394.0,1528.0,597.0,-8.8%,133.5%
Umared APMC,90.0,186.0,275.0,-51.6%,-67.3%
Umarga APMC,1.0,4.0,1.0,-75.0%,-
Umari APMC,8.78426668741513,29.99157579365856,6.0,-,-
Umarked(Danki) APMC,35.0,42.0,12.0,-16.7%,191.7%
Umarkhed APMC,12.0,7.0,12.0,71.4%,-
Vaduj APMC,14.0,20.0,20.0,-30.0%,-30.0%
Vadvani APMC,4.8070745109147985,25.38768650838222,3.0,-,-
Vaijpur APMC,150.0,147.0,188.0,2.0%,-20.2%
Varora APMC,1.0,2.0,1.0,-50.0%,-
Varud(Rajura Bazar) APMC,2.0,3.0,2.0,-33.3%,-
Vasai APMC,435.0,532.0,345.0,-18.2%,26.1%
Vitthal Krushi Utpanna Bazar  APMC,91.44643212442867,85.13,77.23871590331385,-,-
Wardha APMC,178.0,277.0,323.0,-35.7%,-44.9%
Washim APMC,545.0,540.0,682.0,0.9%,-20.1%
Washim(Ansing) APMC,70.0,17.0,20.0,311.8%,250.0%
Yawal APMC,24.0,16.0,3.0,50.0%,700.0%
Yeola APMC,45.0,49.0,12.0,-8.2%,275.0%
Yeotmal APMC,113.0,159.0,87.0,-28.9%,29.9%
Total,49910.87,59430.13,37676.0,-,-
Note:,532.9116871978138,638.1149180731628,401.0413219428859,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,532.9116871978138,638.1149180731628,401.0413219428859,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,532.9116871978138,638.1149180731628,401.0413219428859,,
