,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - December, 2022",,
Market,"Prices December, 2022 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Shahada APMC,2622.0,2634.2,1979.56,-0.5%,32.5%
Shegaon APMC,2433.33,2260.0,1775.88,7.7%,37.0%
Shevgaon APMC,2332.22,2697.6,2023.6,-13.5%,15.2%
Shevgaon(Bodhegaon) APMC,2662.5,2580.0,1854.76,3.2%,43.5%
Shirpur APMC,2678.39,2597.27,1925.58,3.1%,39.1%
Shirur APMC,-,2500.0,1663.1,-,-
Shrigonda APMC,2510.87,2373.91,1989.19,5.8%,26.2%
Shrigonda(Gogargaon) APMC,2447.06,2246.49,1986.37,8.9%,23.2%
Shrirampur APMC,2350.5,2405.36,1799.31,-2.3%,30.6%
Shrirampur(Belapur) APMC,2254.55,2234.09,1609.38,0.9%,40.1%
Sillod APMC,2670.72,2595.0,1967.11,2.9%,35.8%
Sillod(Bharadi) APMC,2591.67,2613.33,1923.46,-0.8%,34.7%
Sindi(Selu) APMC,2658.93,2412.68,1835.7,10.2%,44.9%
Sinner APMC,2760.71,2811.32,1990.0,-1.8%,38.7%
Solapur APMC,2848.74,2773.99,2615.73,2.7%,8.9%
Sonpeth APMC,2250.0,-,1611.25,-,39.6%
Tadkalas APMC,-,-,1612.5,-,-
Tasgaon APMC,2337.0,2235.11,2082.45,4.6%,12.2%
Telhara APMC,2555.81,2399.49,1824.63,6.5%,40.1%
Tuljapur APMC,-,2500.0,1821.88,-,-
Tumsar APMC,2380.33,2441.73,1837.31,-2.5%,29.6%
Ulhasnagar APMC,3246.74,3182.25,2811.92,2.0%,15.5%
Umared APMC,2200.0,2226.04,2100.0,-1.2%,4.8%
Umarga APMC,-,2200.0,1900.0,-,-
Umarked(Danki) APMC,2100.0,2100.0,1929.27,-,8.8%
Umarkhed APMC,-,-,1900.0,-,-
Vaduj APMC,2500.0,2462.5,1965.0,1.5%,27.2%
Vadvani APMC,-,2401.0,1785.33,-,-
Vaijpur APMC,2711.63,2559.74,1970.0,5.9%,37.6%
Varud(Rajura Bazar) APMC,2476.0,-,1801.0,-,37.5%
Vasai APMC,3463.18,3405.6,3350.81,1.7%,3.4%
Wardha APMC,2503.33,2432.5,1853.1,2.9%,35.1%
Washim APMC,2224.8,2279.69,1773.76,-2.4%,25.4%
Washim(Ansing) APMC,2262.5,2311.11,1739.13,-2.1%,30.1%
Yawal APMC,2540.0,2540.0,1825.56,-,39.1%
Yeola APMC,2677.44,2707.91,1823.73,-1.1%,46.8%
Yeotmal APMC,2614.91,2475.33,1870.52,5.6%,39.8%
Average,2644.65,2573.79,1929.95,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

