Market,"Prices October, 2021 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Shirur APMC,1567.45,1609.6,1353.57,-2.6%,15.8%
Shrigonda APMC,1989.24,1990.0,1990.0,-0.0%,-0.0%
Shrigonda(Gogargaon) APMC,1988.8,1990.0,1781.7164075420624,-0.1%,-
Shrirampur APMC,1734.29,1710.58,1568.83,1.4%,10.6%
Shrirampur(Belapur) APMC,1604.55,1550.0,1562.2,3.5%,2.7%
Sillod APMC,1808.11,1820.53,1476.77,-0.7%,22.4%
Sillod(Bharadi) APMC,1768.57,1768.97,1480.0,-0.0%,19.5%
Sindi(Selu) APMC,1720.08,1750.0,1472.22,-1.7%,16.8%
Sinner APMC,1972.48,1911.25,1615.86,3.2%,22.1%
Solapur APMC,2545.39,2611.88,2587.75,-2.5%,-1.6%
Sonpeth APMC,1606.67,1585.0,1374.6521971198135,1.4%,-
Tadkalas APMC,1600.0,1585.47,1371.4490977647397,0.9%,-
Tasgaon APMC,2112.76,2107.0,2303.33,0.3%,-8.3%
Telhara APMC,1665.2,1670.68,1441.6,-0.3%,15.5%
Tuljapur APMC,1300.0,1311.3537871346916,1074.5637308505243,-,-
Tumsar APMC,1819.01,1799.88,1548.65,1.1%,17.5%
Ulhasnagar APMC,2880.07,2872.56,3437.5,0.3%,-16.2%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarga APMC,1522.5,1683.67,1382.2313653136937,-9.6%,-
Umari APMC,1515.62,1500.0,1283.6128818139534,1.0%,-
Umarked(Danki) APMC,1905.56,1894.32,1689.1847498470202,0.6%,-
Umarkhed APMC,1875.0,1888.68,1670.4753833905465,-0.7%,-
Vaduj APMC,1980.43,1975.0,1900.0,0.3%,4.2%
Vadvani APMC,2000.0,1925.0,1488.0,3.9%,34.4%
Vaijpur APMC,1895.65,1886.65,1680.0944682073082,0.5%,-
Vani APMC,1650.0,1649.1284525634799,1430.2321262948785,-,-
Varud(Rajura Bazar) APMC,1753.0,1768.29,1545.1272342370362,-0.9%,-
Vasai APMC,3281.08,3102.1,3025.0309807620615,5.8%,-
Wardha APMC,1789.82,1783.59,1620.0,0.3%,10.5%
Washim APMC,1758.21,1671.8,1493.89,5.2%,17.7%
Washim(Ansing) APMC,1676.79,1800.0,1488.24,-6.8%,12.7%
Yawal APMC,1840.0,1822.11,1720.0,1.0%,7.0%
Yeola APMC,1777.19,1788.81,1472.04,-0.7%,20.7%
Yeotmal APMC,1814.03,1824.97,1493.45,-0.6%,21.5%
Average,1850.61,1845.2,1635.7,-,-
Note:,1839.3107187004327,1831.8381946554352,1622.614792571007,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,1839.3107187004327,1831.8381946554352,1622.614792571007,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,1839.3107187004327,1831.8381946554352,1622.614792571007,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,1839.3107187004327,1831.8381946554352,1622.614792571007,,
