,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - May, 2025",,
Market,"Prices May, 2025 (Rs./Quintal)","Prices April, 2025 (Rs./Quintal)","Prices May, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Palghar APMC,3175.75,3189.7,3180.63,-0.4%,-0.1%
Palus APMC,3400.0,-,-,-,-
Parali Vaijyanath APMC,2293.32,2485.56,-,-7.7%,-
Paranda APMC,2481.37,2517.81,2393.16,-1.4%,3.7%
Parbhani APMC,2703.15,2591.86,2511.72,4.3%,7.6%
Partur APMC,2580.2,2521.71,2560.18,2.3%,0.8%
Pathardi APMC,2885.45,2805.74,2732.68,2.8%,5.6%
Pathari APMC,2509.51,2348.75,2339.86,6.8%,7.2%
Patoda APMC,-,2500.0,-,-,-
Patur APMC,2368.68,2365.14,2136.29,0.1%,10.9%
Pavani APMC,-,2400.0,-,-,-
Phaltan APMC,-,-,2500.0,-,-
Pulgaon APMC,-,-,2208.76,-,-
Pune APMC,-,4714.16,-,-,-
Purna APMC,2750.0,2410.0,2823.64,14.1%,-2.6%
Pusad APMC,2918.7,2974.47,-,-1.9%,-
Rahata APMC,2593.88,2542.4,2561.55,2.0%,1.3%
Rahuri APMC,2551.71,2598.14,2418.08,-1.8%,5.5%
Rahuri(Vambori) APMC,2521.58,2498.94,2466.43,0.9%,2.2%
Raver APMC,2643.6,2581.34,2433.45,2.4%,8.6%
Raver(Sauda) APMC,2641.0,-,-,-,-
Sakri APMC,2511.3,2600.0,2546.03,-3.4%,-1.4%
Samudrapur APMC,2417.65,-,-,-,-
Sangamner APMC,2535.37,2534.0,2399.62,0.1%,5.7%
Sangli APMC,3986.78,3936.03,3490.9,1.3%,14.2%
Satana APMC,2598.66,2538.95,2735.63,2.4%,-5.0%
Savner APMC,2545.1,2664.21,2337.23,-4.5%,8.9%
Shahada APMC,2626.85,2584.71,2656.49,1.6%,-1.1%
Shegaon APMC,2504.58,2526.7,2399.03,-0.9%,4.4%
Shevgaon APMC,2642.23,2604.3,2665.88,1.5%,-0.9%
Shevgaon(Bodhegaon) APMC,2471.37,2478.8,2489.08,-0.3%,-0.7%
Shirpur APMC,2505.54,2581.05,2603.48,-2.9%,-3.8%
Shirur APMC,2358.82,2300.0,2100.0,2.6%,12.3%
Shree Salasar Krushi Bazar  APMC,-,-,1500.0,-,-
Shrigonda APMC,2800.0,2700.0,2500.0,3.7%,12.0%
Shrigonda(Gogargaon) APMC,-,2800.0,-,-,-
Shrirampur APMC,2556.58,2498.66,2471.35,2.3%,3.5%
Shrirampur(Belapur) APMC,2402.66,2445.69,2300.0,-1.8%,4.5%
Sillod APMC,2521.73,2583.0,2458.23,-2.4%,2.6%
Sillod(Bharadi) APMC,2447.58,2434.09,2259.56,0.6%,8.3%
Sindi APMC,2454.21,2448.31,2249.06,0.2%,9.1%
Sindi(Selu) APMC,2555.67,2535.72,2399.41,0.8%,6.5%
Sindkhed Raja APMC,-,2078.1,-,-,-
Sinner APMC,2653.66,2514.52,-,5.5%,-
Solapur APMC,3298.39,3297.32,3125.05,-,5.5%
Sonpeth APMC,2553.0,2737.1,-,-6.7%,-
Tadkalas APMC,-,-,2288.24,-,-
Taloda APMC,2580.0,2576.53,2448.48,0.1%,5.4%
Tasgaon APMC,3190.21,3138.1,3192.31,1.7%,-0.1%
Telhara APMC,2581.33,3012.56,2529.89,-14.3%,2.0%
Tuljapur APMC,2709.59,2680.45,-,1.1%,-
Tumsar APMC,2530.46,2475.53,2600.28,2.2%,-2.7%
Ulhasnagar APMC,3206.24,3199.15,3399.54,0.2%,-5.7%
Umared APMC,2607.25,2637.98,2412.31,-1.2%,8.1%
Umarga APMC,2658.93,2620.51,2016.75,1.5%,31.8%
Umarked(Danki) APMC,2700.0,2900.0,2384.09,-6.9%,13.2%
Vaduj APMC,2550.0,2550.0,2437.5,-,4.6%
Vadvani APMC,2738.25,2758.26,2600.0,-0.7%,5.3%
Vaijpur APMC,2666.97,2633.89,2486.03,1.3%,7.3%
Vani APMC,-,-,2075.31,-,-
Varora APMC,-,-,2000.0,-,-
Varud APMC,2534.19,2557.08,-,-0.9%,-
Varud(Rajura Bazar) APMC,2482.45,2574.82,2301.58,-3.6%,7.9%
Vasai APMC,3489.1,3450.0,3350.0,1.1%,4.2%
Wardha APMC,2625.85,2628.12,2441.72,-0.1%,7.5%
Washi (Dharashiv) APMC,-,2540.0,-,-,-
Washim APMC,2497.28,2515.71,2319.14,-0.7%,7.7%
Washim(Ansing) APMC,2442.19,2450.0,2255.56,-0.3%,8.3%
Yawal APMC,-,2560.0,2801.72,-,-
Yeola APMC,2529.78,2467.83,2592.41,2.5%,-2.4%
Yeotmal APMC,2553.8,2508.61,2420.22,1.8%,5.5%
Average,2634.03,2654.45,2545.57,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

