,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2022",,
Majalgaon APMC,2769.29,2687.36,1720.11,3.0%,61.0%
Malegaon APMC,2335.28,2354.46,1888.93,-0.8%,23.6%
Malegaon(Vashim) APMC,1300.0,1900.0,1400.0,-31.6%,-7.1%
Malkapur APMC,2339.1,2389.48,1843.16,-2.1%,26.9%
Mangal Wedha APMC,2873.33,2715.0,2118.24,5.8%,35.6%
Mangrulpeer APMC,2342.68,2315.48,1780.18,1.2%,31.6%
Manmad APMC,2262.0,2341.17,1799.4,-3.4%,25.7%
Manora APMC,2389.31,2403.45,1823.69,-0.6%,31.0%
Mantha APMC,2225.0,2646.15,1604.46,-15.9%,38.7%
Manwat APMC,2447.5,2444.44,1672.86,0.1%,46.3%
Mehekar APMC,2012.5,2000.0,1551.32,0.6%,29.7%
Morshi APMC,2286.93,2218.16,1777.52,3.1%,28.7%
Mumbai APMC,2991.01,3076.52,3607.97,-2.8%,-17.1%
Murtizapur APMC,2319.66,2289.78,1820.25,1.3%,27.4%
Murum APMC,2676.0,2751.0,-,-2.7%,-
Nagpur APMC,2521.17,2517.01,2291.55,0.2%,10.0%
Nampur APMC,-,-,1696.55,-,-
Nanded APMC,2312.5,2150.0,1682.08,7.6%,37.5%
Nandgaon APMC,2490.22,2516.17,1884.29,-1.0%,32.2%
Nandgaon Khandeshwar APMC,2174.78,2233.38,1658.0,-2.6%,31.2%
Nandura APMC,2253.46,2373.18,1840.55,-5.0%,22.4%
Nandurbar APMC,2331.05,-,2035.64,-,14.5%
Newasa APMC,-,-,2000.0,-,-
Nira(Saswad) APMC,2722.67,2455.0,-,10.9%,-
Pachora APMC,-,2290.61,1696.45,-,-
Paithan APMC,2384.68,2381.06,1820.28,0.1%,31.0%
Palam APMC,-,-,2111.0,-,-
Palghar APMC,2750.39,2661.25,2599.85,3.4%,5.8%
Pandharpur APMC,2200.0,-,1590.0,-,38.4%
Parali Vaijyanath APMC,-,-,1570.33,-,-
Paranda APMC,-,-,1907.5,-,-
Parbhani APMC,2198.19,2246.84,1547.01,-2.2%,42.1%
Parola APMC,2316.5,-,1676.11,-,38.2%
Partur APMC,2409.71,2386.81,1822.75,1.0%,32.2%
Pathardi APMC,2000.0,2015.38,1922.73,-0.8%,4.0%
Pathari APMC,2276.0,2314.57,1608.84,-1.7%,41.5%
Patur APMC,2235.58,2205.28,1759.77,1.4%,27.0%
Phaltan APMC,2400.0,2445.0,1891.82,-1.8%,26.9%
Pune APMC,4843.52,4471.49,4133.9,8.3%,17.2%
Purna APMC,2241.0,-,-,-,-
Rahata APMC,2317.0,2316.47,1821.3,-,27.2%
Rahuri APMC,2229.17,2213.89,1775.0,0.7%,25.6%
Rahuri(Vambori) APMC,2414.57,2354.44,1695.95,2.5%,42.4%
Ramtek APMC,2235.25,2284.61,1712.87,-2.2%,30.5%
Raver APMC,2296.64,2269.36,1895.7,1.2%,21.1%
Sakri APMC,2150.0,2066.67,-,4.0%,-
Sangamner APMC,2310.73,-,1962.93,-,17.7%
Sangli APMC,3062.64,3045.07,2721.69,0.6%,12.5%
Sangrampur(Varvatbakal) APMC,1650.0,-,1704.24,-,-3.2%
Satana APMC,2330.6,2270.95,1971.36,2.6%,18.2%
Savner APMC,2118.0,2174.52,1728.53,-2.6%,22.5%
Selu APMC,2250.0,2300.0,1714.79,-2.2%,31.2%
Shahada APMC,2281.04,2316.35,1944.6,-1.5%,17.3%
Shegaon APMC,2269.57,2254.55,1756.52,0.7%,29.2%
Shevgaon APMC,2224.55,2442.68,1845.99,-8.9%,20.5%
Shevgaon(Bodhegaon) APMC,2054.55,2381.25,1600.0,-13.7%,28.4%
Shirpur APMC,2347.97,2350.78,1866.78,-0.1%,25.8%
Shirur APMC,2216.67,2160.0,1609.6,2.6%,37.7%
Shrigonda APMC,2341.67,2260.0,1990.0,3.6%,17.7%
Shrigonda(Gogargaon) APMC,-,-,1990.0,-,-
Shrirampur APMC,2093.75,2108.33,1710.58,-0.7%,22.4%
Shrirampur(Belapur) APMC,2083.33,2033.33,1550.0,2.5%,34.4%
Sillod APMC,2361.53,2345.32,1820.53,0.7%,29.7%
Sillod(Bharadi) APMC,2288.46,2344.74,1768.97,-2.4%,29.4%
Sindi(Selu) APMC,2204.19,2195.87,1750.0,0.4%,25.9%
Sinner APMC,-,2478.75,1911.25,-,-
Solapur APMC,2746.01,2680.96,2611.88,2.4%,5.1%
Sonpeth APMC,-,2201.0,1585.0,-,-
Tadkalas APMC,2250.0,1900.0,1585.47,18.4%,41.9%
Tasgaon APMC,2248.24,2234.57,2107.0,0.6%,6.7%
Telhara APMC,2216.82,2211.22,1670.68,0.2%,32.7%
Tuljapur APMC,2635.0,2533.33,-,4.0%,-
Tumsar APMC,2263.06,2309.13,1799.88,-2.0%,25.7%
Ulhasnagar APMC,3185.71,2959.53,2872.56,7.6%,10.9%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarga APMC,-,3050.0,1683.67,-,-
Umari APMC,-,-,1500.0,-,-
Umarked(Danki) APMC,2136.84,2000.0,1894.32,6.8%,12.8%
Umarkhed APMC,-,-,1888.68,-,-
Vaduj APMC,2337.5,2308.33,1975.0,1.3%,18.4%
Vadvani APMC,-,-,1925.0,-,-
Vaijpur APMC,-,2355.0,1886.65,-,-
Vani APMC,2212.5,2045.0,-,8.2%,-
Varora APMC,2000.0,1933.33,-,3.5%,-
Varud(Rajura Bazar) APMC,2255.5,-,1768.29,-,27.6%
Vasai APMC,3344.61,3473.43,3102.1,-3.7%,7.8%
Wardha APMC,2276.25,2247.56,1783.59,1.3%,27.6%
Washim APMC,2000.0,2011.51,1671.8,-0.6%,19.6%
Washim(Ansing) APMC,2210.0,2188.89,1800.0,1.0%,22.8%
Yawal APMC,-,2513.33,1822.11,-,-
Yeola APMC,2302.33,2544.19,1788.81,-9.5%,28.7%
Yeotmal APMC,2320.26,2378.07,1824.97,-2.4%,27.1%
Average,2335.72,2342.38,1845.2,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

